"날짜","종가","시가","고가","저가","변동 %"
"2023- 05- 03","115.81","115.64","115.95","115.55","0.22%"
"2023- 05- 02","115.56","114.53","115.69","114.47","0.93%"
"2023- 05- 01","114.50","115.42","115.42","114.31","-0.61%"
"2023- 04- 28","115.20","114.78","115.48","114.55","0.41%"
"2023- 04- 27","114.73","115.42","115.55","114.66","-0.71%"
"2023- 04- 26","115.55","115.75","115.95","115.31","-0.22%"
"2023- 04- 25","115.80","115.03","115.94","115.03","0.80%"
"2023- 04- 24","114.88","114.47","115.06","114.45","0.36%"
"2023- 04- 21","114.47","114.70","115.00","114.41","-0.17%"
"2023- 04- 20","114.66","114.25","114.81","114.22","0.41%"
"2023- 04- 19","114.19","114.42","114.45","113.95","-0.25%"
"2023- 04- 18","114.48","114.30","114.67","114.25","0.10%"
"2023- 04- 17","114.36","114.86","114.97","114.25","-0.44%"
"2023- 04- 14","114.86","115.52","115.72","114.72","-0.51%"
"2023- 04- 13","115.45","115.89","116.09","115.39","-0.22%"
"2023- 04- 12","115.70","115.45","116.25","115.25","0.28%"
"2023- 04- 11","115.38","115.48","115.78","115.20","-0.12%"
"2023- 04- 10","115.52","115.77","115.98","115.38","-0.24%"
"2023- 04- 07","115.80","116.44","116.50","115.72","-0.64%"
"2023- 04- 06","116.55","116.39","116.94","116.34","-0.03%"
"2023- 04- 05","116.58","116.17","116.94","115.91","0.28%"
"2023- 04- 04","116.25","115.58","116.28","115.08","0.69%"
"2023- 04- 03","115.45","114.91","115.67","114.56","0.46%"
"2023- 03- 31","114.92","114.53","115.11","114.28","0.30%"
"2023- 03- 30","114.58","114.47","114.73","114.22","0.04%"
"2023- 03- 29","114.53","114.58","114.88","114.22","-0.10%"
"2023- 03- 28","114.64","114.98","115.23","114.53","-0.30%"
"2023- 03- 27","114.98","116.17","116.20","114.88","-0.97%"
"2023- 03- 24","116.11","115.89","117.05","115.67","0.11%"
"2023- 03- 23","115.98","115.45","116.25","115.03","0.77%"
"2023- 03- 22","115.09","114.12","115.61","113.81","0.85%"
"2023- 03- 21","114.12","114.98","115.45","114.06","-0.84%"
"2023- 03- 20","115.09","115.25","116.75","114.78","-0.62%"
"2023- 03- 17","115.81","114.27","115.91","114.05","1.42%"
"2023- 03- 16","114.19","115.33","116.03","114.16","-0.81%"
"2023- 03- 15","115.12","113.48","115.97","113.27","1.11%"
"2023- 03- 14","113.86","114.38","115.23","113.28","-0.70%"
"2023- 03- 13","114.66","113.19","115.41","112.66","1.34%"
"2023- 03- 10","113.14","111.66","113.31","111.64","1.49%"
"2023- 03- 09","111.48","110.81","111.72","110.70","0.50%"
"2023- 03- 08","110.92","110.98","111.45","110.64","-0.03%"
"2023- 03- 07","110.95","111.09","111.41","110.73","-0.03%"
"2023- 03- 06","110.98","111.11","111.53","110.95","-0.10%"
"2023- 03- 03","111.09","110.58","111.16","110.48","0.53%"
"2023- 03- 02","110.50","111.05","111.06","110.39","-0.45%"
"2023- 03- 01","111.00","111.53","111.61","110.91","-0.15%"
"2023- 02- 28","111.17","111.16","111.25","110.75","0.03%"
"2023- 02- 27","111.14","110.89","111.33","110.72","0.20%"
"2023- 02- 24","110.92","111.41","111.59","110.66","-0.47%"
"2023- 02- 23","111.44","111.20","111.53","110.80","0.22%"
"2023- 02- 22","111.20","111.06","111.45","110.95","0.13%"
"2023- 02- 21","111.06","111.98","112.02","110.98","-0.63%"
"2023- 02- 20","111.77","111.94","111.95","111.77","-0.15%"
"2023- 02- 19","111.94","111.97","112.02","111.94","-0.06%"
"2023- 02- 17","112.00","111.73","112.08","111.27","0.10%"
"2023- 02- 16","111.89","112.03","112.36","111.64","-0.14%"
"2023- 02- 15","112.05","112.41","112.56","111.97","-0.25%"
"2023- 02- 14","112.33","112.88","113.55","112.09","-0.40%"
"2023- 02- 13","112.78","112.64","112.89","112.53","0.08%"
"2023- 02- 10","112.69","113.19","113.22","112.62","-0.30%"
"2023- 02- 09","113.03","113.66","113.81","113.00","-0.34%"
"2023- 02- 08","113.41","113.25","113.64","113.19","0.16%"
"2023- 02- 07","113.23","113.45","113.88","113.17","-0.24%"
"2023- 02- 06","113.50","114.34","114.36","113.33","-0.80%"
"2023- 02- 03","114.42","115.50","115.70","114.25","-0.98%"
"2023- 02- 02","115.55","115.31","116.00","115.31","0.06%"
"2023- 02- 01","115.48","114.64","115.59","114.55","0.84%"
"2023- 01- 31","114.52","114.41","114.81","114.30","0.21%"
"2023- 01- 30","114.28","114.66","114.78","114.17","-0.29%"
"2023- 01- 27","114.61","114.78","114.88","114.38","-0.22%"
"2023- 01- 26","114.86","115.23","115.28","114.67","-0.24%"
"2023- 01- 25","115.14","115.14","115.41","114.92","0.10%"
"2023- 01- 24","115.03","114.75","115.12","114.44","0.30%"
"2023- 01- 23","114.69","115.03","115.22","114.59","-0.32%"
"2023- 01- 20","115.06","115.64","115.66","114.86","-0.50%"
"2023- 01- 19","115.64","115.86","116.25","115.45","-0.23%"
"2023- 01- 18","115.91","114.56","115.95","114.50","1.08%"
"2023- 01- 17","114.67","114.80","114.92","114.30","-0.03%"
"2023- 01- 16","114.70","114.75","114.92","114.53","-0.03%"
"2023- 01- 15","114.73","114.81","114.83","114.72","-0.03%"
"2023- 01- 13","114.77","115.27","115.48","114.75","-0.40%"
"2023- 01- 12","115.23","114.50","115.42","114.00","0.69%"
"2023- 01- 11","114.44","114.00","114.59","113.98","0.39%"
"2023- 01- 10","114.00","114.47","114.61","113.83","-0.54%"
"2023- 01- 09","114.62","114.23","114.73","114.00","0.35%"
"2023- 01- 06","114.22","113.02","114.36","112.64","1.06%"
"2023- 01- 05","113.02","113.33","113.36","112.58","-0.15%"
"2023- 01- 04","113.19","112.89","113.48","112.83","0.49%"
"2023- 01- 03","112.64","112.56","113.11","112.39","0.12%"
"2023- 01- 02","112.50","112.20","112.64","112.20","0.26%"
"2023- 01- 01","112.20","112.20","112.20","112.20","-0.09%"
"2022- 12- 30","112.30","112.50","112.52","111.88","-0.12%"
"2022- 12- 29","112.44","112.22","112.56","112.16","0.22%"
"2022- 12- 28","112.19","112.48","112.69","112.12","-0.12%"
"2022- 12- 27","112.33","113.19","113.20","112.31","-0.72%"
"2022- 12- 26","113.14","113.19","113.19","113.11","-0.04%"
"2022- 12- 25","113.19","113.19","113.19","113.19","0.10%"
"2022- 12- 23","113.08","113.42","113.48","112.97","-0.41%"
"2022- 12- 22","113.55","113.67","113.91","113.42","-0.01%"
"2022- 12- 21","113.56","113.50","114.05","113.30","0.03%"
"2022- 12- 20","113.53","114.14","114.17","113.31","-0.53%"
"2022- 12- 19","114.14","114.70","114.72","114.02","-0.58%"
"2022- 12- 16","114.81","114.94","114.95","114.19","-0.10%"
"2022- 12- 15","114.92","114.95","115.08","114.56","0.17%"
"2022- 12- 14","114.72","114.72","115.06","114.25","-0.05%"
"2022- 12- 13","114.78","113.84","115.36","113.78","0.83%"
"2022- 12- 12","113.83","113.97","114.39","113.70","-0.23%"
"2022- 12- 09","114.09","114.52","114.77","113.92","-0.31%"
"2022- 12- 08","114.45","115.00","115.03","114.38","-0.62%"
"2022- 12- 07","115.16","114.23","115.20","114.06","0.70%"
"2022- 12- 06","114.36","113.98","114.41","113.78","0.44%"
"2022- 12- 05","113.86","114.58","114.62","113.78","-0.70%"
"2022- 12- 02","114.66","114.70","114.89","113.67","0.04%"
"2022- 12- 01","114.61","114.11","114.77","113.84","0.98%"
"2022- 11- 30","113.50","112.97","114.16","112.55","0.46%"
"2022- 11- 29","112.98","113.33","113.64","112.88","-0.24%"
"2022- 11- 28","113.25","113.44","113.84","113.19","-0.05%"
"2022- 11- 25","113.31","113.27","113.77","112.86","0.01%"
"2022- 11- 24","113.30","113.05","113.47","113.03","0.04%"
"2022- 11- 23","113.25","112.86","113.39","112.50","0.30%"
"2022- 11- 22","112.91","112.50","113.00","112.47","0.29%"
"2022- 11- 21","112.58","112.55","112.98","112.36","0.02%"
"2022- 11- 18","112.56","112.89","113.06","112.48","-0.31%"
"2022- 11- 17","112.91","113.41","113.56","112.70","-0.50%"
"2022- 11- 16","113.48","112.94","113.61","112.55","0.57%"
"2022- 11- 15","112.84","112.39","113.27","112.30","0.38%"
"2022- 11- 14","112.41","112.45","112.48","112.17","-0.15%"
"2022- 11- 11","112.58","112.77","112.81","112.30","-0.18%"
"2022- 11- 10","112.78","110.92","112.84","110.69","1.98%"
"2022- 11- 09","110.59","110.55","111.00","110.27","0.04%"
"2022- 11- 08","110.55","109.84","110.58","109.70","0.57%"
"2022- 11- 07","109.92","110.39","110.45","109.86","-0.38%"
"2022- 11- 04","110.34","110.14","110.67","109.73","0.01%"
"2022- 11- 03","110.33","110.53","110.56","109.69","-0.53%"
"2022- 11- 02","110.92","110.81","111.59","110.53","0.04%"
"2022- 11- 01","110.88","111.00","111.94","110.78","0.00%"
"2022- 10- 31","110.88","111.14","111.25","110.69","-0.38%"
"2022- 10- 28","111.30","112.20","112.20","111.14","-0.61%"
"2022- 10- 27","111.98","111.41","112.25","110.86","0.51%"
"2022- 10- 26","111.41","110.88","111.55","110.88","0.48%"
"2022- 10- 25","110.88","110.14","111.28","110.11","0.77%"
"2022- 10- 24","110.03","110.16","110.75","109.75","-0.07%"
"2022- 10- 21","110.11","109.70","110.25","109.19","0.37%"
"2022- 10- 20","109.70","110.22","110.50","109.62","-0.62%"
"2022- 10- 19","110.38","111.27","111.27","110.27","-0.83%"
"2022- 10- 18","111.30","111.09","111.44","110.89","0.20%"
"2022- 10- 17","111.08","111.05","111.73","111.03","0.05%"
"2022- 10- 14","111.02","111.33","112.00","110.89","-0.28%"
"2022- 10- 13","111.33","111.62","112.38","110.39","-0.38%"
"2022- 10- 12","111.75","111.62","111.88","111.41","0.31%"
"2022- 10- 11","111.41","111.19","111.78","111.00","0.12%"
"2022- 10- 10","111.28","111.62","111.62","111.08","-0.42%"
"2022- 10- 07","111.75","112.03","112.03","111.58","-0.43%"
"2022- 10- 06","112.23","112.75","112.75","112.11","-0.48%"
"2022- 10- 05","112.77","113.66","113.66","112.55","-0.86%"
"2022- 10- 04","113.75","113.86","114.12","113.58","0.24%"
"2022- 10- 03","113.48","112.41","114.03","112.41","0.98%"
"2022- 09- 30","112.38","112.34","113.14","112.34","-0.33%"
"2022- 09- 29","112.75","112.69","112.81","111.94","-0.27%"
"2022- 09- 28","113.06","111.23","113.16","110.97","1.78%"
"2022- 09- 27","111.08","111.39","112.23","110.94","-0.43%"
"2022- 09- 26","111.56","112.80","112.80","111.25","-1.10%"
"2022- 09- 23","112.80","112.70","113.14","112.02","-0.19%"
"2022- 09- 22","113.02","113.94","114.28","112.81","-1.36%"
"2022- 09- 21","114.58","114.47","114.52","113.58","0.46%"
"2022- 09- 20","114.05","114.56","114.56","113.84","-0.45%"
"2022- 09- 19","114.56","114.84","115.00","114.84","-0.34%"
"2022- 09- 16","114.95","114.52","114.62","114.52","0.22%"
"2022- 09- 15","114.70","114.64","114.64","114.31","-0.46%"
"2022- 09- 14","115.23","114.88","115.41","114.88","0.01%"
"2022- 09- 13","115.22","115.78","115.78","115.23","-0.63%"
"2022- 09- 12","115.95","115.95","115.95","115.95","-0.11%"
"2022- 09- 09","116.08","116.88","116.88","116.06","-0.20%"
"2022- 09- 08","116.31","115.95","117.00","115.89","-0.18%"
"2022- 09- 07","116.52","116.00","116.00","116.00","0.50%"
"2022- 09- 06","115.94","115.94","115.94","115.94","-0.40%"
"2022- 09- 05","116.41","116.61","116.69","116.14","-0.17%"
"2022- 09- 04","116.61","116.66","116.84","116.61","-0.33%"
"2022- 09- 02","117.00","117.00","117.00","117.00","0.76%"
"2022- 09- 01","116.12","116.31","116.31","116.12","-0.75%"
"2022- 08- 31","117.00","117.47","117.47","116.42","-0.07%"
"2022- 08- 30","117.08","117.08","117.08","117.08","-0.03%"
"2022- 08- 29","117.11","117.11","117.11","117.11","-0.48%"
"2022- 08- 26","117.67","117.89","117.89","117.89","-0.19%"
"2022- 08- 25","117.89","117.75","117.75","117.75","0.47%"
"2022- 08- 24","117.34","117.34","117.34","117.34","-0.33%"
"2022- 08- 23","117.73","117.73","117.73","117.73","-0.07%"
"2022- 08- 22","117.81","118.22","118.22","118.22","-0.35%"
"2022- 08- 19","118.22","118.22","118.22","118.22","-0.63%"
"2022- 08- 18","118.97","118.97","118.97","118.97","0.08%"
"2022- 08- 17","118.88","119.41","119.41","119.41","-0.52%"
"2022- 08- 16","119.50","119.50","119.50","119.50","-0.26%"
"2022- 08- 15","119.81","119.81","119.81","119.81","0.36%"
"2022- 08- 12","119.38","119.38","119.38","119.38","0.15%"
"2022- 08- 11","119.20","119.20","119.20","119.20","-0.55%"
"2022- 08- 10","119.86","119.86","119.86","119.86","0.23%"
"2022- 08- 09","119.59","119.59","119.59","119.59","-0.30%"
"2022- 08- 08","119.95","119.95","119.95","119.95","0.42%"
"2022- 08- 05","119.45","119.45","119.45","119.45","-1.12%"
"2022- 08- 04","120.80","120.80","120.80","120.80","0.55%"
