"날짜","종가","시가","고가","저가","변동 %"
"2021- 11- 17","130.45","130.16","130.59","130.05","0.22%"
"2021- 11- 16","130.17","130.31","130.53","130.09","-0.10%"
"2021- 11- 15","130.30","130.62","130.86","130.23","-0.28%"
"2021- 11- 13","130.67","130.67","130.67","130.67","0.11%"
"2021- 11- 12","130.53","130.36","130.81","130.31","0.15%"
"2021- 11- 11","130.33","130.73","130.81","130.28","-0.31%"
"2021- 11- 10","130.73","131.75","131.78","130.56","-0.84%"
"2021- 11- 09","131.84","131.34","131.92","131.33","0.41%"
"2021- 11- 08","131.30","131.72","131.80","131.25","-0.40%"
"2021- 11- 06","131.83","131.83","131.83","131.83","0.00%"
"2021- 11- 05","131.83","131.22","131.95","131.05","0.40%"
"2021- 11- 04","131.31","130.59","131.44","130.56","0.41%"
"2021- 11- 03","130.77","130.92","131.17","130.48","-0.15%"
"2021- 11- 02","130.97","130.73","131.14","130.64","0.24%"
"2021- 11- 01","130.66","130.64","130.80","130.39","-0.03%"
"2021- 10- 30","130.70","130.70","130.70","130.70","0.00%"
"2021- 10- 29","130.70","130.69","130.88","130.23","-0.04%"
"2021- 10- 28","130.75","130.98","131.08","130.61","-0.32%"
"2021- 10- 27","131.17","130.64","131.22","130.44","0.43%"
"2021- 10- 26","130.61","130.59","130.70","130.36","0.04%"
"2021- 10- 25","130.56","130.48","130.69","130.25","0.06%"
"2021- 10- 23","130.48","130.48","130.48","130.48","0.11%"
"2021- 10- 22","130.34","130.00","130.50","129.98","0.12%"
"2021- 10- 21","130.19","130.44","130.58","129.97","-0.34%"
"2021- 10- 20","130.64","130.52","130.75","130.25","0.06%"
"2021- 10- 19","130.56","130.64","130.97","130.45","-0.16%"
"2021- 10- 18","130.77","130.91","130.94","130.44","-0.15%"
"2021- 10- 15","130.97","131.52","131.53","130.91","-0.40%"
"2021- 10- 14","131.50","131.31","131.61","131.19","0.21%"
"2021- 10- 13","131.22","131.11","131.48","130.80","0.06%"
"2021- 10- 12","131.14","130.84","131.23","130.80","0.23%"
"2021- 10- 11","130.84","131.03","131.05","130.80","-0.15%"
"2021- 10- 09","131.03","131.03","131.03","131.03","-0.08%"
"2021- 10- 08","131.14","131.34","131.58","131.03","-0.19%"
"2021- 10- 07","131.39","131.72","131.78","131.31","-0.25%"
"2021- 10- 06","131.72","131.73","131.84","131.41","-0.01%"
"2021- 10- 05","131.73","132.08","132.11","131.64","-0.26%"
"2021- 10- 04","132.08","132.19","132.27","131.86","-0.09%"
"2021- 10- 02","132.20","132.20","132.20","132.20","0.03%"
"2021- 10- 01","132.17","131.89","132.22","131.75","0.43%"
"2021- 09- 30","131.61","131.66","131.95","131.34","0.11%"
"2021- 09- 29","131.47","131.44","131.80","131.31","0.00%"
"2021- 09- 28","131.47","131.75","131.84","131.22","-0.25%"
"2021- 09- 27","131.80","132.08","132.17","131.61","-0.22%"
"2021- 09- 25","132.09","132.09","132.09","132.09","0.06%"
"2021- 09- 24","132.02","132.20","132.45","131.97","-0.27%"
"2021- 09- 23","132.38","133.19","133.19","132.16","-0.45%"
"2021- 09- 22","132.98","133.17","133.39","132.92","-0.66%"
"2021- 09- 21","133.86","133.86","133.97","133.64","0.01%"
"2021- 09- 20","133.84","133.38","133.91","133.38","0.76%"
"2021- 09- 18","132.83","132.83","132.83","132.83","-0.44%"
"2021- 09- 17","133.41","133.69","133.72","133.28","-0.22%"
"2021- 09- 16","133.70","133.98","134.05","133.56","-0.22%"
"2021- 09- 15","134.00","134.14","134.22","133.89","-0.15%"
"2021- 09- 14","134.20","133.91","134.31","133.73","0.21%"
"2021- 09- 13","133.92","133.80","133.98","133.72","0.59%"
"2021- 09- 11","133.14","133.14","133.14","133.14","-0.47%"
"2021- 09- 10","133.77","134.05","134.09","133.70","-0.24%"
"2021- 09- 09","134.09","133.88","134.19","133.77","0.17%"
"2021- 09- 08","133.86","133.61","133.91","133.61","0.18%"
"2021- 09- 07","133.62","133.97","133.97","133.53","0.25%"
"2021- 09- 06","133.28","133.97","133.97","133.23","-0.06%"
"2021- 09- 05","133.36","133.38","134.02","133.33","-0.49%"
"2021- 09- 04","134.02","134.02","134.02","133.38","0.01%"
"2021- 09- 03","134.00","134.19","134.48","133.88","-0.09%"
"2021- 09- 02","134.12","134.06","134.22","134.06","0.05%"
"2021- 09- 01","134.05","134.00","134.23","133.84","0.00%"
"2021- 08- 31","134.05","134.14","134.28","133.97","-0.05%"
"2021- 08- 30","134.12","133.91","134.19","133.86","0.17%"
"2021- 08- 28","133.89","133.89","133.89","133.89","0.00%"
"2021- 08- 27","133.89","133.52","133.97","133.42","0.22%"
"2021- 08- 26","133.59","133.61","133.69","133.38","-0.02%"
"2021- 08- 25","133.62","133.94","134.05","133.55","-0.27%"
"2021- 08- 24","133.98","134.20","134.23","133.92","-0.18%"
"2021- 08- 23","134.22","134.14","134.27","133.94","0.05%"
"2021- 08- 21","134.16","134.16","134.16","134.16","0.03%"
"2021- 08- 20","134.12","134.30","134.44","134.06","-0.16%"
"2021- 08- 19","134.33","134.22","134.53","134.17","0.14%"
"2021- 08- 18","134.14","134.22","134.31","133.91","-0.10%"
"2021- 08- 17","134.27","134.23","134.61","134.16","-0.04%"
"2021- 08- 16","134.33","134.12","134.56","134.06","0.18%"
"2021- 08- 14","134.09","134.09","134.09","134.09","0.11%"
"2021- 08- 13","133.95","133.52","134.09","133.47","0.37%"
"2021- 08- 12","133.45","133.59","133.78","133.41","-0.10%"
"2021- 08- 11","133.58","133.52","133.91","133.30","0.02%"
"2021- 08- 10","133.55","133.70","133.86","133.47","-0.17%"
"2021- 08- 09","133.78","133.91","134.20","133.66","-0.13%"
"2021- 08- 07","133.95","133.95","133.95","133.95","-0.03%"
"2021- 08- 06","134.00","134.42","134.47","133.89","-0.37%"
"2021- 08- 05","134.50","134.83","134.91","134.39","-0.24%"
"2021- 08- 04","134.83","134.98","135.44","134.62","-0.13%"
"2021- 08- 03","135.00","134.91","135.19","134.78","0.00%"
"2021- 08- 02","135.00","134.53","135.16","134.45","0.41%"
"2021- 07- 30","134.45","134.19","134.59","134.19","0.17%"
"2021- 07- 29","134.22","134.45","134.50","134.09","-0.04%"
"2021- 07- 28","134.27","134.39","134.56","134.08","-0.15%"
"2021- 07- 27","134.47","134.11","134.56","134.09","0.20%"
"2021- 07- 26","134.20","134.19","134.59","134.06","0.04%"
"2021- 07- 23","134.14","134.12","134.22","133.94","-0.08%"
"2021- 07- 22","134.25","134.05","134.47","133.86","0.10%"
"2021- 07- 21","134.11","134.53","134.83","133.98","-0.42%"
"2021- 07- 20","134.67","134.59","135.22","134.44","-0.01%"
"2021- 07- 19","134.69","133.84","134.80","133.81","0.68%"
"2021- 07- 16","133.78","133.78","133.84","133.45","-0.01%"
"2021- 07- 15","133.80","133.50","133.88","133.44","0.26%"
"2021- 07- 14","133.45","132.97","133.53","132.94","0.35%"
"2021- 07- 13","132.98","133.41","133.56","132.97","-0.32%"
"2021- 07- 12","133.41","133.39","133.64","133.27","-0.01%"
"2021- 07- 09","133.42","133.80","133.81","133.38","-0.35%"
"2021- 07- 08","133.89","133.58","134.09","133.52","0.25%"
"2021- 07- 07","133.55","133.34","133.70","133.20","0.25%"
"2021- 07- 06","133.22","132.75","133.39","132.58","0.42%"
"2021- 07- 05","132.66","132.74","132.79","132.66","-0.06%"
"2021- 07- 04","132.74","132.77","132.77","132.71","0.05%"
"2021- 07- 02","132.67","132.38","132.80","132.23","0.30%"
"2021- 07- 01","132.27","132.31","132.47","132.19","-0.17%"
"2021- 06- 30","132.50","132.28","132.56","132.19","0.17%"
"2021- 06- 29","132.27","132.25","132.30","132.02","0.00%"
"2021- 06- 28","132.27","131.92","132.33","131.89","0.31%"
"2021- 06- 25","131.86","132.11","132.27","131.77","-0.23%"
"2021- 06- 24","132.17","132.16","132.28","132.03","-0.02%"
"2021- 06- 23","132.19","132.39","132.47","132.11","-0.13%"
"2021- 06- 22","132.36","132.17","132.44","132.02","-0.53%"
"2021- 06- 21","133.06","133.36","133.55","132.61","-0.08%"
"2021- 06- 18","133.16","132.84","133.25","132.69","0.19%"
"2021- 06- 17","132.91","132.56","133.05","132.48","0.16%"
"2021- 06- 16","132.70","133.47","133.55","132.53","-0.55%"
"2021- 06- 15","133.44","133.47","133.59","133.38","0.01%"
"2021- 06- 14","133.42","133.77","133.80","133.38","-0.21%"
"2021- 06- 11","133.70","133.94","134.06","133.66","-0.07%"
"2021- 06- 10","133.80","133.67","133.98","133.25","0.12%"
"2021- 06- 09","133.64","133.30","133.78","133.30","0.21%"
"2021- 06- 08","133.36","133.06","133.45","133.06","0.25%"
"2021- 06- 07","133.03","133.09","133.09","132.95","-0.07%"
"2021- 06- 04","133.12","132.55","133.14","132.50","0.45%"
"2021- 06- 03","132.53","132.86","132.89","132.52","-0.25%"
"2021- 06- 02","132.86","132.72","132.92","132.67","0.10%"
"2021- 06- 01","132.73","132.73","132.81","132.56","0.71%"
"2021- 05- 31","131.80","131.79","131.87","131.70","0.00%"
"2021- 05- 30","131.80","131.81","131.84","131.80","-0.80%"
"2021- 05- 28","132.86","132.69","132.97","132.56","0.13%"
"2021- 05- 27","132.69","132.84","132.94","132.56","-0.17%"
"2021- 05- 26","132.91","132.98","133.06","132.83","-0.05%"
