회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
아스타,246720,2017-03-20,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,키움증권(주),500,"8,000","14,000,000",MALDI-TOF 질량분석기 기반 진단시스템,"9,402,523"
덴티움,145720,2017-03-15,신규상장,주권,의료용 기기 제조업,대한민국,엔에이치투자증권주식회사,500,"32,000","81,466,592",치과용 기기 제조업,"11,068,830"
대신밸런스제4호스팩,262830,2017-03-03,신규상장,주권,금융 지원 서비스업,대한민국,대신증권(주),100,"2,000","9,000,000",기업인수 및 합병,"5,010,000"
에스디생명공학,217480,2017-03-02,신규상장,주권,기타 화학제품 제조업,대한민국,"신한투자증권 주식회사,한국투자증권(주)",500,"12,000","57,600,000","마스크팩, 기초화장품","22,064,400"
신신제약,002800,2017-02-28,신규상장,주권,의약품 제조업,대한민국,케이비투자증권(주),500,"4,500","14,625,000",파스류 (신신파스 아렉스 등),"15,170,500"
에프엔에스테크,083500,2017-02-27,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"14,000","14,000,000","OLED, LCD 제조 공정 장비","5,851,101"
모바일어플라이언스,087260,2017-02-24,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,엔에이치투자증권주식회사,500,"3,500","13,181,998","블랙박스, 내비게이션, HUD, ADAS","15,000,000"
피씨엘,241820,2017-02-23,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,한국투자증권(주),500,"8,000","12,000,000","다중 체외진단 제품, 플랫폼서비스","8,921,164"
신한제3호스팩,257730,2017-02-23,신규상장,주권,금융 지원 서비스업,대한민국,신한투자증권 주식회사,100,"2,000","6,000,000",기업인수합병,"3,505,000"
호전실업,111110,2017-02-02,신규상장,주권,봉제의복 제조업,대한민국,엔에이치투자증권주식회사,500,"25,000","41,616,750",스포츠웨어 및 아웃도어 웨어 OEM,"8,000,000"
서플러스글로벌,140070,2017-01-25,신규상장,주권,기계장비 및 관련 물품 도매업,대한민국,한국투자증권(주),100,"8,000","35,200,000","반도체 제조용 장비, 유휴기계설비 도소매","18,494,000"
