시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2022-11-22,~ 2022-11-25,,,,,
코스닥 상장추진,유진스팩9호,2022-10-24,   2022-11-17,   2022-11-22,2022-11-25,"2,000","6,500",2022-12-01,유진투자증권㈜
,,,~ 2022-11-18,~ 2022-11-23,,,,,
코스닥 상장추진,엔에이치스팩26호,2022-10-21,   2022-11-15,   2022-11-21,2022-11-24,"2,000","15,000",2022-12-01,엔에이치투자증권주식회사
,,,~ 2022-11-16,~ 2022-11-22,,,,,
코스닥 상장추진,대신밸런스제13호스팩,2022-10-18,   2022-11-14,   2022-11-17,2022-11-22,"2,000","10,000",2022-11-28,대신증권㈜
,,,~ 2022-11-15,~ 2022-11-18,,,,,
유가증권 상장추진,바이오노트,2022-10-13,   2022-11-07,   2022-11-10,2022-11-15,"9,000","93,600",2022-11-21,"엔에이치투자증권주식회사,한국투자증권㈜"
,,,~ 2022-11-08,~ 2022-11-11,,,,,
코스닥 상장추진,티에프이,2022-10-12,   2022-11-03,   2022-11-08,2022-11-11,"10,500","28,350",2022-11-17,IBK투자증권㈜
,,,~ 2022-11-04,~ 2022-11-09,,,,,
코스닥 상장추진,SAMG엔터,2022-10-07,   2022-11-17,   2022-11-24,2022-11-29,"17,000","23,800",2022-12-06,엔에이치투자증권주식회사
,,,~ 2022-11-18,~ 2022-11-25,,,,,
코스닥 상장추진,유비온,2022-10-06,   2022-11-02,   2022-11-08,2022-11-11,"2,000","5,520",2022-11-18,미래에셋증권 주식회사
,,,~ 2022-11-03,~ 2022-11-09,,,,,
코스닥 상장추진,인벤티지랩,2022-09-30,   2022-11-08,   2022-11-11,2022-11-16,"12,000","12,480",2022-11-22,한국투자증권㈜
,,,~ 2022-11-09,~ 2022-11-14,,,,,
코스닥 상장추진,윤성에프앤씨,2022-09-30,   2022-10-26,   2022-11-02,2022-11-07,"49,000","97,743",2022-11-14,미래에셋증권 주식회사
,,,~ 2022-10-27,~ 2022-11-03,,,,,
코스닥 상장추진,디티앤씨알오,2022-09-30,   2022-10-26,   2022-11-02,2022-11-07,"17,000","23,800",2022-11-11,키움증권㈜
,,,~ 2022-10-27,~ 2022-11-03,,,,,
코스닥 상장추진,티쓰리,2022-09-29,   2022-11-01,   2022-11-07,2022-11-10,"1,700","28,900",2022-11-17,미래에셋증권 주식회사
,,,~ 2022-11-02,~ 2022-11-08,,,,,
코스닥 상장추진,제이아이테크,2022-09-26,   2022-10-20,   2022-10-26,2022-10-31,"16,000","27,662",2022-11-04,미래에셋증권 주식회사
,,,~ 2022-10-21,~ 2022-10-27,,,,,
코스닥 상장추진,펨트론,2022-09-23,   2022-11-08,   2022-11-15,2022-11-18,"8,000","8,800",2022-11-24,하나증권주식회사
,,,~ 2022-11-09,~ 2022-11-16,,,,,
코스닥 상장추진,엔젯,2022-09-23,   2022-10-27,   2022-11-03,2022-11-08,"10,000","21,000",2022-11-18,미래에셋증권 주식회사
,,,~ 2022-10-28,~ 2022-11-04,,,,,
코스닥 상장추진,큐알티,2022-09-22,   2022-10-18,   2022-10-24,2022-10-27,"44,000","43,582",2022-11-02,미래에셋증권 주식회사
,,,~ 2022-10-19,~ 2022-10-25,,,,,
코스닥 상장추진,케이비제23호스팩,2022-09-22,   2022-10-18,   2022-10-24,2022-10-27,"2,000","12,000",2022-11-03,KB증권㈜
,,,~ 2022-10-19,~ 2022-10-25,,,,,
코스닥 상장추진,교보13호스팩,2022-09-20,   2022-10-19,   2022-10-24,2022-10-27,"2,000","7,600",2022-11-02,교보증권㈜
,,,~ 2022-10-20,~ 2022-10-25,,,,,
코스닥 상장추진,저스템,2022-09-19,   2022-10-13,   2022-10-19,2022-10-24,"10,500","18,060",2022-10-28,미래에셋증권 주식회사
,,,~ 2022-10-14,~ 2022-10-20,,,,,
코스닥 상장추진,엔에이치스팩25호,2022-09-16,   2022-10-18,   2022-10-24,2022-10-27,"2,000","5,000",2022-11-03,엔에이치투자증권주식회사
,,,~ 2022-10-19,~ 2022-10-25,,,,,
코스닥 상장추진,산돌,2022-09-16,   2022-10-12,   2022-10-18,2022-10-21,"18,800","28,012",2022-10-27,KB증권㈜
,,,~ 2022-10-13,~ 2022-10-19,,,,,
코스닥 상장추진,IBKS제20호스팩,2022-09-16,   2022-10-13,   2022-10-18,2022-10-21,"2,000","8,000",2022-10-28,IBK투자증권㈜
,,,~ 2022-10-14,~ 2022-10-19,,,,,
코스닥 상장추진,삼성스팩7호,2022-09-15,   2022-10-11,   2022-10-17,2022-10-20,"10,000","30,000",2022-10-26,삼성증권㈜
,,,~ 2022-10-12,~ 2022-10-18,,,,,
코스닥 상장추진,골프존커머스,2022-09-15,   2022-10-11,   2022-10-18,2022-10-21,-,-,2022-10-28,한국투자증권㈜
,,,~ 2022-10-12,~ 2022-10-19,,,,,
코스닥 상장추진,탑머티리얼,2022-09-01,   2022-09-27,   2022-10-04,2022-10-07,"30,000","60,000",2022-10-18,한국투자증권㈜
,,,~ 2022-09-28,~ 2022-10-05,,,,,
코스닥 상장추진,뉴로메카,2022-08-31,   2022-10-20,   2022-10-26,2022-10-31,"16,900","25,350",2022-11-04,대신증권㈜
,,,~ 2022-10-21,~ 2022-10-27,,,,,
코스닥 상장추진,오에스피,2022-08-25,   2022-09-27,   2022-10-04,2022-10-07,"8,400","17,270",2022-10-14,대신증권㈜
,,,~ 2022-09-28,~ 2022-10-05,,,,,
코스닥 상장추진,모델솔루션,2022-08-24,   2022-09-19,   2022-09-26,2022-09-29,"27,000","27,000",2022-10-07,KB증권㈜
,,,~ 2022-09-20,~ 2022-09-27,,,,,
코스닥 상장추진,SK증권제8호스팩,2022-08-24,   2022-09-20,   2022-09-26,2022-09-29,"2,000","7,000",2022-10-06,SK증권㈜
