시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2015-06-12,~ 2015-06-18,,,,,
코스닥 상장추진,켐온,2015-05-15,   2015-06-10,   2015-06-15,2015-06-18,"2,000","13,000",2015-06-26,이베스트투자증권㈜
,,,~ 2015-06-11,~ 2015-06-16,,,,,
코스닥 상장추진,이큐셀,2015-05-15,   2015-06-10,   2015-06-17,2015-06-22,"6,500","7,150",2015-06-26,케이비투자증권㈜
,,,~ 2015-06-11,~ 2015-06-18,,,,,
코스닥 상장추진,에스엘에너지,2015-05-15,   2015-06-09,   2015-06-16,2015-06-19,"11,300","11,758",2015-06-25,엔에이치투자증권주식회사
,,,~ 2015-06-10,~ 2015-06-17,,,,,
코스닥 상장추진,베셀,2015-05-15,   2015-06-03,   2015-06-08,2015-06-11,"9,000","5,400",2015-06-19,키움증권㈜
,,,~ 2015-06-04,~ 2015-06-09,,,,,
유가증권 상장추진,경보제약,2015-05-15,   2015-06-10,   2015-06-18,2015-06-23,"15,000","143,441",2015-06-29,엔에이치투자증권주식회사
,,,~ 2015-06-11,~ 2015-06-19,,,,,
유가증권 상장추진,SK디앤디,2015-05-12,   2015-06-04,   2015-06-10,2015-06-15,"26,000","76,700",2015-06-23,"신한투자증권 주식회사,대신증권㈜"
,,,~ 2015-06-05,~ 2015-06-11,,,,,
코스닥 상장추진,미래생명자원,2015-05-08,   2015-06-02,   2015-06-08,2015-06-11,"2,000","7,000",2015-06-18,하나증권주식회사
,,,~ 2015-06-03,~ 2015-06-09,,,,,
코스닥 상장추진,넵튠,2015-05-04,   2015-06-04,   2015-06-08,2015-06-11,"2,000","10,000",2015-06-18,대신증권㈜
,,,~ 2015-06-05,~ 2015-06-09,,,,,
코스닥 상장추진,엔에이치스팩7호,2015-04-30,   2015-05-27,   2015-06-03,2015-06-08,"2,000","8,400",2015-06-12,엔에이치투자증권주식회사
,,,~ 2015-05-28,~ 2015-06-04,,,,,
코스닥 상장추진,싸이맥스,2015-04-30,   2015-05-28,   2015-06-04,2015-06-09,"16,300","25,951",2015-06-17,대신증권㈜
,,,~ 2015-05-29,~ 2015-06-05,,,,,
코스닥 상장추진,러셀,2015-04-30,   2015-05-29,   2015-06-04,2015-06-09,"2,000","8,500",2015-06-16,하이투자증권㈜
,,,~ 2015-06-01,~ 2015-06-05,,,,,
코스닥 상장추진,픽셀플러스,2015-04-29,   2015-05-26,   2015-06-02,2015-06-05,"30,000","24,000",2015-06-12,한국투자증권㈜
,,,~ 2015-05-27,~ 2015-06-03,,,,,
코스닥 상장추진,디딤이앤에프,2015-04-28,   2015-05-26,   2015-06-01,2015-06-04,"2,000","13,500",2015-06-10,한화투자증권㈜
,,,~ 2015-05-27,~ 2015-06-02,,,,,
코스닥 상장추진,제노포커스,2015-04-13,   2015-05-13,   2015-05-18,2015-05-21,"11,000","13,200",2015-05-29,한국투자증권㈜
,,,~ 2015-05-14,~ 2015-05-19,,,,,
코스닥 상장추진,미래에셋제3호스팩,2015-04-10,   2015-05-07,   2015-05-13,2015-05-18,"2,000","11,400",2015-05-22,미래에셋증권㈜
,,,~ 2015-05-07,~ 2015-05-14,,,,,
코스닥 상장추진,대우스팩3호,2015-04-01,   2015-04-29,   2015-05-06,2015-05-12,"2,000","10,000",2015-05-19,미래에셋증권 주식회사
,,,~ 2015-04-30,~ 2015-05-07,,,,,
코스닥 상장추진,우정바이오,2015-03-31,   2015-04-28,   2015-05-07,2015-05-12,"2,000","10,000",2015-05-18,한화투자증권㈜
,,,~ 2015-04-29,~ 2015-05-08,,,,,
코스닥 상장추진,알비케이그룹,2015-03-31,   2015-04-22,   2015-04-27,2015-04-30,"2,000","13,000",2015-05-08,엔에이치투자증권주식회사
,,,~ 2015-04-23,~ 2015-04-28,,,,,
코스닥 상장추진,토박스코리아,2015-03-27,   2015-04-22,   2015-04-28,2015-05-04,"2,000","5,500",2015-05-13,미래에셋증권 주식회사
,,,~ 2015-04-23,~ 2015-04-29,,,,,
코스닥 상장추진,휴센텍,2015-03-18,   2015-04-13,   2015-04-16,2015-04-21,"2,000","10,000",2015-04-28,유진투자증권㈜
,,,~ 2015-04-14,~ 2015-04-17,,,,,
코스닥 상장추진,로보로보,2015-03-16,   2015-04-07,   2015-04-13,2015-04-16,"2,000","5,500",2015-04-22,하나증권주식회사
,,,~ 2015-04-08,~ 2015-04-14,,,,,
코스닥 상장추진,디알텍,2015-03-05,   2015-04-01,   2015-04-09,2015-04-14,"2,000","8,200",2015-04-20,한화투자증권㈜
,,,~ 2015-04-02,~ 2015-04-10,,,,,
코스닥 상장추진,에이비프로바이오,2015-02-27,   2015-03-26,   2015-04-02,2015-04-07,"15,000","30,900",2015-04-13,한국투자증권㈜
,,,~ 2015-03-27,~ 2015-04-03,,,,,
코스닥 상장추진,클래시스,2015-02-24,   2015-03-19,   2015-03-24,2015-03-27,"2,000","10,000",2015-04-03,다올투자증권 주식회사
,,,~ 2015-03-20,~ 2015-03-25,,,,,
코스닥 상장추진,SK1호스팩,2015-02-16,   2015-03-13,   2015-03-19,2015-03-24,"2,000","10,000",2015-03-31,SK증권㈜
,,,~ 2015-03-16,~ 2015-03-20,,,,,
코스닥 상장추진,FSN,2015-02-12,   2015-03-11,   2015-03-16,2015-03-19,"2,000","8,000",2015-03-25,케이비투자증권㈜
,,,~ 2015-03-12,~ 2015-03-17,,,,,
유가증권 상장추진,엔에스쇼핑,2015-02-10,   2015-03-09,   2015-03-16,2015-03-19,"235,000","206,373",2015-03-27,"한국투자증권㈜,하나증권주식회사,미래에셋증권㈜"
,,,~ 2015-03-10,~ 2015-03-17,,,,,
유가증권 상장추진,다이나믹디자인,2015-02-04,   2015-03-03,   2015-03-10,2015-03-13,"16,300","21,361",2015-03-19,한국투자증권㈜
,,,~ 2015-03-04,~ 2015-03-11,,,,,
코스닥 상장추진,골든브릿지제2호스팩,2014-12-26,   2015-01-21,   2015-01-27,2015-01-30,"2,000","7,000",2015-02-05,㈜상상인증권
,,,~ 2015-01-22,~ 2015-01-28,,,,,
코스닥 상장추진,와이제이엠게임즈,2014-11-20,   2014-12-12,   2014-12-18,2014-12-23,"5,500","3,704",2014-12-29,하나증권주식회사
,,,~ 2014-12-15,~ 2014-12-19,,,,,
코스닥 상장추진,아이티센,2014-11-20,   2014-12-09,   2014-12-15,2014-12-17,"7,500","7,500",2014-12-23,IBK투자증권㈜
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,바디텍메드,2014-11-20,   2014-12-15,   2014-12-18,2014-12-22,"2,000","8,540",2014-12-29,엔에이치투자증권주식회사
,,,~ 2014-12-16,~ 2014-12-19,,,,,
코스닥 상장추진,국일신동,2014-11-20,   2014-12-15,   2014-12-18,2014-12-22,"1,700","5,100",2014-12-29,IBK투자증권㈜
,,,~ 2014-12-16,~ 2014-12-19,,,,,
코스닥 상장추진,썸에이지,2014-11-19,   2014-12-11,   2014-12-17,2014-12-22,"2,000","30,000",2014-12-29,케이비투자증권㈜
,,,~ 2014-12-12,~ 2014-12-18,,,,,
코스닥 상장추진,지란지교시큐리티,2014-11-18,   2014-12-10,   2014-12-15,2014-12-18,"2,000","9,082",2014-12-24,케이비투자증권㈜
,,,~ 2014-12-11,~ 2014-12-16,,,,,
코스닥 상장추진,이츠웰,2014-11-18,   2014-12-11,   2014-12-16,2014-12-19,-,-,2014-12-26,키움증권㈜
,,,~ 2014-12-12,~ 2014-12-17,,,,,
코스닥 상장추진,하나머스트3호스팩,2014-11-17,   2014-12-09,   2014-12-15,2014-12-18,"2,000","4,500",2014-12-24,하나증권주식회사
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,아스트,2014-11-17,   2014-12-09,   2014-12-15,2014-12-18,"9,500","27,119",2014-12-24,케이비투자증권㈜
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,휴메딕스,2014-11-14,   2014-12-08,   2014-12-15,2014-12-18,"28,000","28,000",2014-12-26,한국투자증권㈜
,,,~ 2014-12-09,~ 2014-12-16,,,,,
코스닥 상장추진,하이로닉,2014-11-14,   2014-12-02,   2014-12-08,2014-12-11,"51,000","28,050",2014-12-17,신한투자증권 주식회사
,,,~ 2014-12-03,~ 2014-12-09,,,,,
코스닥 상장추진,포시에스,2014-11-14,   2015-01-26,   2015-02-02,2015-02-05,"9,100","11,830",2015-02-11,DB금융투자주식회사
,,,~ 2015-01-27,~ 2015-02-03,,,,,
코스닥 상장추진,오킨스전자,2014-11-14,   2014-12-09,   2014-12-15,2014-12-18,"7,100","13,011",2014-12-24,미래에셋증권㈜
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,스튜디오산타클로스,2014-11-14,   2014-12-09,   2014-12-17,2014-12-22,"2,000","13,000",2014-12-29,KB증권㈜
,,,~ 2014-12-10,~ 2014-12-18,,,,,
코스닥 상장추진,바이오로그디바이스,2014-11-14,   2014-12-09,   2014-12-15,2014-12-18,"2,000","10,000",2014-12-24,교보증권㈜
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,NEW,2014-11-14,   2014-12-09,   2014-12-15,2014-12-17,"16,300","33,765",2014-12-23,엔에이치투자증권주식회사
,,,~ 2014-12-10,~ 2014-12-16,,,,,
코스닥 상장추진,에이팩트,2014-11-13,   2014-12-08,   2014-12-15,2014-12-19,"1,500","6,534",2014-12-26,미래에셋증권 주식회사
,,,~ 2014-12-09,~ 2014-12-16,,,,,
코스닥 상장추진,서전기전,2014-11-12,   2014-12-08,   2014-12-15,2014-12-18,"6,500","7,885",2014-12-24,DB금융투자주식회사
,,,~ 2014-12-09,~ 2014-12-16,,,,,
코스닥 상장추진,랩지노믹스,2014-11-12,   2014-12-01,   2014-12-05,2014-12-09,"13,200","3,300",2014-12-16,한국투자증권㈜
,,,~ 2014-12-02,~ 2014-12-08,,,,,
코스닥 상장추진,셀바스헬스케어,2014-11-11,   2014-12-03,   2014-12-08,2014-12-11,"2,000","10,000",2014-12-17,하나증권주식회사
,,,~ 2014-12-04,~ 2014-12-09,,,,,
코스닥 상장추진,정다운,2014-11-10,   2014-12-02,   2014-12-08,2014-12-11,"2,000","5,000",2014-12-17,케이프투자증권주식회사
,,,~ 2014-12-03,~ 2014-12-09,,,,,
코스닥 상장추진,디티앤씨,2014-11-10,   2014-12-02,   2014-12-08,2014-12-11,"18,500","39,535",2014-12-17,키움증권㈜
,,,~ 2014-12-03,~ 2014-12-09,,,,,
코스닥 상장추진,녹십자엠에스,2014-11-10,   2014-12-02,   2014-12-08,2014-12-11,"6,000","12,000",2014-12-17,한국투자증권㈜
,,,~ 2014-12-03,~ 2014-12-09,,,,,
코스닥 상장추진,엔에이치SL스팩,2014-11-06,   2014-12-01,   2014-12-08,2014-12-11,"2,000","4,000",2014-12-17,엔에이치투자증권주식회사
,,,~ 2014-12-02,~ 2014-12-09,,,,,
코스닥 상장추진,에이디테크놀로지,2014-11-06,   2014-12-01,   2014-12-04,2014-12-09,"15,000","15,000",2014-12-16,한국투자증권㈜
,,,~ 2014-12-02,~ 2014-12-05,,,,,
코스닥 상장추진,알테오젠,2014-11-05,   2014-11-27,   2014-12-02,2014-12-05,"26,000","23,400",2014-12-12,한국투자증권㈜
,,,~ 2014-11-28,~ 2014-12-03,,,,,
코스닥 상장추진,미스터블루,2014-11-05,   2014-11-27,   2014-12-02,2014-12-05,"2,000","10,000",2014-12-12,DB금융투자주식회사
,,,~ 2014-11-28,~ 2014-12-03,,,,,
코스닥 상장추진,베노홀딩스,2014-11-04,   2014-11-26,   2014-12-01,2014-12-03,"2,000","10,000",2014-12-10,한국투자증권㈜
,,,~ 2014-11-27,~ 2014-12-02,,,,,
코스닥 상장추진,비씨월드제약,2014-11-03,   2014-11-26,   2014-12-03,2014-12-09,"15,700","26,000",2014-12-15,"대신증권㈜,미래에셋증권 주식회사"
,,,~ 2014-11-27,~ 2014-12-04,,,,,
유가증권 상장추진,삼성물산,2014-10-31,   2014-12-03,   2014-12-10,2014-12-15,"53,000","1,523,747",2014-12-18,미래에셋증권 주식회사
,,,~ 2014-12-04,~ 2014-12-11,,,,,
코스닥 상장추진,대창스틸,2014-10-27,   2014-11-18,   2014-11-25,2014-11-28,"2,500","5,500",2014-12-05,하나증권주식회사
,,,~ 2014-11-19,~ 2014-11-26,,,,,
코스닥 상장추진,PI첨단소재,2014-10-24,   2014-11-19,   2014-11-26,2014-12-01,"8,000","102,400",2014-12-08,한국투자증권㈜
,,,~ 2014-11-20,~ 2014-11-27,,,,,
코스닥 상장추진,에프엔씨엔터,2014-10-23,   2014-11-18,   2014-11-24,2014-11-27,"28,000","39,200",2014-12-04,유진투자증권㈜
,,,~ 2014-11-19,~ 2014-11-25,,,,,
코스닥 상장추진,휴마시스,2014-10-21,   2014-11-13,   2014-11-20,2014-11-25,"2,000","10,000",2014-12-01,하이투자증권㈜
,,,~ 2014-11-14,~ 2014-11-21,,,,,
유가증권 상장추진,씨에스윈드,2014-10-21,   2014-11-13,   2014-11-19,2014-11-24,"43,500","256,650",2014-11-27,"삼성증권㈜,미래에셋증권㈜"
,,,~ 2014-11-14,~ 2014-11-20,,,,,
코스닥 상장추진,텔콘RF제약,2014-10-17,   2014-11-10,   2014-11-13,2014-11-18,"14,500","20,300",2014-11-24,대신증권㈜
,,,~ 2014-11-11,~ 2014-11-14,,,,,
코스닥 상장추진,지엘팜텍,2014-10-15,   2014-11-06,   2014-11-11,2014-11-14,"2,000","8,000",2014-11-20,IBK투자증권㈜
,,,~ 2014-11-07,~ 2014-11-12,,,,,
코스닥 상장추진,케이티비스팩1호,2014-10-14,   2014-11-10,   2014-11-13,2014-11-18,"2,000","10,000",2014-11-24,다올투자증권 주식회사
,,,~ 2014-11-11,~ 2014-11-14,,,,,
코스닥 상장추진,파티게임즈,2014-10-13,   2014-11-04,   2014-11-11,2014-11-14,"13,000","12,480",2014-11-21,엔에이치투자증권주식회사
,,,~ 2014-11-05,~ 2014-11-12,,,,,
코스닥 상장추진,디에이테크놀로지,2014-10-13,   2014-11-05,   2014-11-10,2014-11-13,"6,600","9,464",2014-11-19,대신증권㈜
,,,~ 2014-11-06,~ 2014-11-11,,,,,
코스닥 상장추진,글로벌텍스프리,2014-10-07,   2014-11-03,   2014-11-10,2014-11-13,"2,000","11,000",2014-11-19,유안타증권㈜
,,,~ 2014-11-04,~ 2014-11-11,,,,,
코스닥 상장추진,액션스퀘어,2014-10-01,   2014-10-27,   2014-11-03,2014-11-06,"2,000","20,000",2014-11-12,케이비투자증권㈜
,,,~ 2014-10-28,~ 2014-11-04,,,,,
유가증권 상장추진,삼성에스디에스,2014-09-30,   2014-10-20,   2014-11-05,2014-11-10,"190,000","1,158,925",2014-11-14,"한국투자증권㈜,골드만삭스증권 서울지점,제이피모간증권회사 서울지점"
,,,~ 2014-10-30,~ 2014-11-06,,,,,
코스닥 상장추진,엑셈,2014-09-29,   2014-10-23,   2014-10-28,2014-10-31,"2,000","7,800",2014-11-07,교보증권㈜
,,,~ 2014-10-24,~ 2014-10-29,,,,,
코스닥 상장추진,테고사이언스,2014-09-26,   2014-10-22,   2014-10-28,2014-10-31,"13,500","7,191",2014-11-06,엔에이치투자증권주식회사
,,,~ 2014-10-23,~ 2014-10-29,,,,,
코스닥 상장추진,현대에이블스팩1호,2014-09-25,   2014-10-22,   2014-10-28,2014-10-31,"2,000","10,000",2014-11-10,KB증권㈜
,,,~ 2014-10-23,~ 2014-10-29,,,,,
코스닥 상장추진,슈피겐코리아,2014-09-23,   2014-10-20,   2014-10-27,2014-10-30,"27,500","50,875",2014-11-05,삼성증권㈜
,,,~ 2014-10-21,~ 2014-10-28,,,,,
코스닥 상장추진,테라셈,2014-09-22,   2014-10-14,   2014-10-20,2014-10-23,"3,000","5,400",2014-10-30,한국투자증권㈜
,,,~ 2014-10-15,~ 2014-10-21,,,,,
코스닥 상장추진,영우디에스피,2014-09-17,   2014-10-13,   2014-10-16,2014-10-21,"5,000","6,500",2014-10-29,키움증권㈜
,,,~ 2014-10-14,~ 2014-10-17,,,,,
코스닥 상장추진,프로스테믹스,2014-09-15,   2014-09-15,   2014-09-22,2014-09-25,"2,000","20,000",2014-09-30,케이비투자증권㈜
,,,~ 2014-09-16,~ 2014-09-23,,,,,
코스닥 상장추진,대우스팩2호,2014-09-05,   2014-10-06,   2014-10-13,2014-10-16,"2,000","10,500",2014-10-22,미래에셋증권 주식회사
,,,~ 2014-10-07,~ 2014-10-14,,,,,
코스닥 상장추진,드림시큐리티,2014-08-28,   2014-09-24,   2014-09-29,2014-10-02,"2,000","10,000",2014-10-13,신한투자증권 주식회사
,,,~ 2014-09-25,~ 2014-09-30,,,,,
코스닥 상장추진,메디아나,2014-08-21,   2014-09-17,   2014-09-24,2014-09-29,"6,200","8,928",2014-10-07,케이비투자증권㈜
,,,~ 2014-09-18,~ 2014-09-25,,,,,
코스닥 상장추진,데브시스터즈,2014-08-21,   2014-09-18,   2014-09-24,2014-09-29,"53,000","143,100",2014-10-06,엔에이치투자증권주식회사
,,,~ 2014-09-19,~ 2014-09-25,,,,,
코스닥 상장추진,휴림네트웍스,2014-06-30,   2014-07-28,   2014-08-04,2014-08-07,"11,000","3,960",2014-08-14,한국투자증권㈜
,,,~ 2014-07-29,~ 2014-08-05,,,,,
코스닥 상장추진,고려시멘트,2014-06-30,   2014-07-28,   2014-08-04,2014-08-07,"2,000","13,000",2014-08-13,엔에이치투자증권주식회사
,,,~ 2014-07-29,~ 2014-08-05,,,,,
유가증권 상장추진,쿠쿠홀딩스,2014-06-27,   2014-07-23,   2014-07-29,2014-08-01,"104,000","254,887",2014-08-06,엔에이치투자증권주식회사
,,,~ 2014-07-24,~ 2014-07-30,,,,,
코스닥 상장추진,신화콘텍,2014-06-26,   2014-07-21,   2014-07-30,2014-08-04,"9,100","14,560",2014-08-08,KB증권㈜
,,,~ 2014-07-22,~ 2014-07-31,,,,,
코스닥 상장추진,파버나인,2014-06-20,   2014-07-15,   2014-07-23,2014-07-28,"12,500","13,750",2014-08-04,"한국투자증권㈜,케이비투자증권㈜"
,,,~ 2014-07-16,~ 2014-07-24,,,,,
코스닥 상장추진,아진엑스텍,2014-06-20,   2014-07-08,   2014-07-14,2014-07-17,"7,000","7,000",2014-07-24,신한투자증권 주식회사
,,,~ 2014-07-09,~ 2014-07-15,,,,,
코스닥 상장추진,덕신하우징,2014-06-20,   2014-07-15,   2014-07-23,2014-07-28,"13,000","26,000",2014-08-01,KB증권㈜
,,,~ 2014-07-16,~ 2014-07-24,,,,,
코스닥 상장추진,창해에탄올,2014-06-18,   2014-07-14,   2014-07-21,2014-07-24,"8,300","15,777",2014-07-30,엔에이치투자증권주식회사
,,,~ 2014-07-15,~ 2014-07-22,,,,,
코스닥 상장추진,윈하이텍,2014-06-18,   2014-07-10,   2014-07-16,2014-07-21,"8,300","21,912",2014-07-25,엔에이치투자증권주식회사
,,,~ 2014-07-11,~ 2014-07-17,,,,,
코스닥 상장추진,콜마비앤에이치,2014-06-17,   2014-07-11,   2014-07-14,2014-07-17,"2,000","13,000",2014-07-23,미래에셋증권㈜
,,,~ 2014-07-11,~ 2014-07-15,,,,,
유가증권 상장추진,화인베스틸,2014-06-03,   2014-06-30,   2014-07-09,2014-07-14,"4,700","30,238",2014-07-22,KB증권㈜
,,,~ 2014-07-01,~ 2014-07-10,,,,,
코스닥 상장추진,트루윈,2014-05-29,   2014-06-24,   2014-07-01,2014-07-04,"10,500","12,600",2014-07-11,하나증권주식회사
,,,~ 2014-06-25,~ 2014-07-02,,,,,
코스닥 상장추진,우성아이비,2014-04-25,   2014-05-22,   2014-05-28,2014-06-02,"2,000","5,000",2014-06-10,하나증권주식회사
,,,~ 2014-05-23,~ 2014-05-29,,,,,
유가증권 상장추진,BGF,2014-04-02,   2014-04-24,   2014-05-07,2014-05-12,"41,000","252,561",2014-05-19,삼성증권㈜
,,,~ 2014-04-25,~ 2014-05-08,,,,,
코스닥 상장추진,캐스텍코리아,2014-03-28,   2014-05-08,   2014-05-15,2014-05-20,"6,500","16,250",2014-05-27,한국투자증권㈜
,,,~ 2014-05-09,~ 2014-05-16,,,,,
코스닥 상장추진,나노,2014-03-28,   2014-04-21,   2014-04-24,2014-04-29,"2,000","10,000",2014-05-08,유진투자증권㈜
,,,~ 2014-04-22,~ 2014-04-25,,,,,
코스닥 상장추진,케이사인,2014-03-19,   2014-04-10,   2014-04-17,2014-04-22,"2,000","14,800",2014-04-28,케이비투자증권㈜
,,,~ 2014-04-11,~ 2014-04-18,,,,,
코스닥 상장추진,오이솔루션,2014-01-17,   2014-02-12,   2014-02-17,2014-02-20,"10,000","7,769",2014-02-27,대신증권㈜
,,,~ 2014-02-13,~ 2014-02-18,,,,,
코스닥 상장추진,한국정보인증,2013-12-17,   2014-01-14,   2014-01-21,2014-01-24,"1,800","9,720",2014-02-04,KB증권㈜
,,,~ 2014-01-15,~ 2014-01-22,,,,,
코스닥 상장추진,인터파크,2013-12-10,   2014-01-16,   2014-01-23,2014-01-28,"7,700","52,414",2014-02-06,미래에셋증권 주식회사
,,,~ 2014-01-17,~ 2014-01-24,,,,,
코스닥 상장추진,현대이지웰,2013-11-19,   2013-12-11,   2013-12-17,2013-12-20,"4,400","4,400",2013-12-27,한국투자증권㈜
,,,~ 2013-12-12,~ 2013-12-18,,,,,
코스닥 상장추진,다산솔루에타,2013-11-18,   2013-12-11,   2013-12-16,2013-12-19,"24,000","24,000",2013-12-27,키움증권㈜
,,,~ 2013-12-12,~ 2013-12-17,,,,,
코스닥 상장추진,SGA솔루션즈,2013-11-08,   2013-12-04,   2013-12-09,2013-12-12,"2,000","13,000",2013-12-20,키움증권㈜
,,,~ 2013-12-05,~ 2013-12-10,,,,,
코스닥 상장추진,인트로메딕,2013-11-07,   2013-12-03,   2013-12-11,2013-12-16,"6,000","4,200",2013-12-19,한국투자증권㈜
,,,~ 2013-12-04,~ 2013-12-12,,,,,
코스닥 상장추진,기가레인,2013-10-30,   2013-11-26,   2013-12-04,2013-12-09,"5,500","21,786",2013-12-19,하나증권주식회사
,,,~ 2013-11-27,~ 2013-12-05,,,,,
코스닥 상장추진,현대공업,2013-10-28,   2013-11-19,   2013-11-25,2013-11-28,"7,500","22,526",2013-12-04,신영증권㈜
,,,~ 2013-11-20,~ 2013-11-26,,,,,
코스닥 상장추진,엔브이에이치코리아,2013-10-25,   2013-11-20,   2013-11-25,2013-11-28,"4,500","38,250",2013-12-03,미래에셋증권㈜
,,,~ 2013-11-21,~ 2013-11-26,,,,,
코스닥 상장추진,알티캐스트,2013-10-21,   2013-11-20,   2013-11-27,2013-12-02,"8,500","17,000",2013-12-06,한국투자증권㈜
,,,~ 2013-11-21,~ 2013-11-28,,,,,
유가증권 상장추진,신송홀딩스,2013-10-14,   2013-11-05,   2013-11-11,2013-11-14,"6,500","23,066",2013-11-21,엔에이치투자증권주식회사
,,,~ 2013-11-06,~ 2013-11-12,,,,,
코스닥 상장추진,탑코미디어,2013-10-11,   2013-11-06,   2013-11-14,2013-11-19,"5,700","6,114",2013-11-26,하나증권주식회사
,,,~ 2013-11-07,~ 2013-11-14,,,,,
코스닥 상장추진,큐브엔터,2013-10-07,   2013-11-07,   2013-11-13,2013-11-18,"2,000","13,000",2013-11-21,엔에이치투자증권주식회사
,,,~ 2013-11-08,~ 2013-11-14,,,,,
코스닥 상장추진,라이온켐텍,2013-09-27,   2013-10-31,   2013-11-07,2013-11-12,"12,500","37,012",2013-11-19,하나증권주식회사
,,,~ 2013-11-01,~ 2013-11-08,,,,,
코스닥 상장추진,두산테스나,2013-09-27,   2013-10-01,   2013-10-10,2013-10-15,"13,500","9,768",2013-10-22,키움증권㈜
,,,~ 2013-10-02,~ 2013-10-11,,,,,
코스닥 상장추진,협진,2013-09-24,   2013-10-23,   2013-10-30,2013-11-04,"8,100","8,505",2013-11-08,한국투자증권㈜
,,,~ 2013-10-24,~ 2013-10-31,,,,,
코스닥 상장추진,THE MIDONG,2013-09-17,   2013-10-28,   2013-11-04,2013-11-07,"20,000","19,417",2013-11-13,엔에이치투자증권주식회사
,,,~ 2013-10-29,~ 2013-11-05,,,,,
유가증권 상장추진,현대로템,2013-09-16,   2013-10-15,   2013-10-22,2013-10-25,"23,000","622,380",2013-10-30,미래에셋증권 주식회사
,,,~ 2013-10-16,~ 2013-10-23,,,,,
코스닥 상장추진,내츄럴엔도텍,2013-09-16,   2013-10-16,   2013-10-21,2013-10-24,"40,000","21,200",2013-10-31,키움증권㈜
,,,~ 2013-10-17,~ 2013-10-22,,,,,
코스닥 상장추진,해성옵틱스,2013-09-11,   2013-10-22,   2013-10-28,2013-10-31,"6,600","21,615",2013-11-06,엔에이치투자증권주식회사
,,,~ 2013-10-23,~ 2013-10-29,,,,,
코스닥 상장추진,램테크놀러지,2013-09-06,   2013-10-30,   2013-11-06,2013-11-11,"3,900","4,875",2013-11-18,한국투자증권㈜
,,,~ 2013-10-31,~ 2013-11-07,,,,,
코스닥 상장추진,파수,2013-09-03,   2013-09-30,   2013-10-07,2013-10-11,"5,800","9,280",2013-10-18,삼성증권㈜
,,,~ 2013-10-01,~ 2013-10-08,,,,,
코스닥 상장추진,지엔씨에너지,2013-08-19,   2013-09-12,   2013-09-23,2013-09-26,"6,000","7,200",2013-10-02,교보증권㈜
,,,~ 2013-09-13,~ 2013-09-24,,,,,
코스닥 상장추진,엘티씨,2013-08-19,   2013-09-23,   2013-09-26,2013-09-30,"20,500","26,728",2013-10-08,키움증권㈜
,,,~ 2013-09-24,~ 2013-09-27,,,,,
코스닥 상장추진,아미코젠,2013-08-06,   2013-08-29,   2013-09-04,2013-09-09,"25,000","15,763",2013-09-12,엔에이치투자증권주식회사
,,,~ 2013-08-30,~ 2013-09-05,,,,,
코스닥 상장추진,파이오링크,2013-06-18,   2013-07-18,   2013-07-24,2013-07-29,"10,500","12,600",2013-08-01,케이프투자증권주식회사
,,,~ 2013-07-19,~ 2013-07-25,,,,,
코스닥 상장추진,GH신소재,2013-06-18,   2013-07-17,   2013-07-24,2013-07-29,"3,100","7,440",2013-08-02,미래에셋증권㈜
,,,~ 2013-07-18,~ 2013-07-25,,,,,
코스닥 상장추진,KG ETS,2013-06-14,   2013-07-08,   2013-07-15,2013-07-18,"3,800","30,827",2013-07-24,엔에이치투자증권주식회사
,,,~ 2013-07-09,~ 2013-07-16,,,,,
코스닥 상장추진,우양에이치씨,2012-06-14,   2012-07-13,   2012-07-18,2012-07-23,"5,500","13,915",2012-07-26,한화투자증권(주)
,,,~ 2012-07-13,~ 2012-07-19,,,,,
코스닥 상장추진,비아트론,2012-03-07,   2012-04-18,   2012-04-25,2012-04-30,"15,900","18,285",2012-05-04,한국투자증권(주)
,,,~ 2012-04-18,~ 2012-04-26,,,,,
코스닥 상장추진,빛샘전자,2012-02-14,   2012-03-07,   2012-03-12,2012-03-15,"4,400","3,432",2012-03-21,미래에셋증권(주)
,,,~ 2012-03-07,~ 2012-03-13,,,,,
코스닥 상장추진,뉴로스,2011-11-29,   2012-01-27,   2012-02-06,2012-02-09,"8,500","4,250",2012-02-15,교보증권(주)
,,,~ 2012-01-27,~ 2012-02-07,,,,,
코스닥 상장추진,원익머트리얼즈,2011-11-18,   2011-12-09,   2011-12-15,2011-12-20,"27,000","45,029",2011-12-28,유안타증권(주)
,,,~ 2011-12-09,~ 2011-12-16,,,,,
코스닥 상장추진,디엔에이링크,2011-11-11,   2011-12-06,   2011-12-14,2011-12-19,"7,700","5,070",2011-12-26,미래에셋증권(주)
,,,~ 2011-12-06,~ 2011-12-15,,,,,
코스닥 상장추진,비덴트,2011-11-10,   2011-11-16,   2011-11-22,2011-11-25,"12,000","12,600",2011-12-01,한국투자증권(주)
