"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 29","16,658.0","16,558.0","16,675.0","16,505.0","0.42K","0.60%"
"2022- 12- 28","16,558.0","16,719.0","16,796.0","16,490.0","1.59K","-0.96%"
"2022- 12- 27","16,719.0","16,946.0","16,987.0","16,631.0","0.94K","-1.34%"
"2022- 12- 26","16,946.0","16,847.0","16,958.0","16,814.0","0.32K","0.59%"
"2022- 12- 25","16,847.0","16,864.0","16,874.0","16,760.0","0.38K","-0.10%"
"2022- 12- 24","16,864.0","16,802.0","16,880.0","16,802.0","0.40K","0.37%"
"2022- 12- 23","16,802.0","16,838.0","16,942.0","16,788.0","0.53K","-0.21%"
"2022- 12- 22","16,838.0","16,845.0","16,873.0","16,588.0","0.77K","-0.04%"
"2022- 12- 21","16,845.0","16,925.0","16,934.0","16,755.0","0.79K","-0.47%"
"2022- 12- 20","16,925.0","16,448.0","17,057.0","16,413.0","1.46K","2.90%"
"2022- 12- 19","16,448.0","16,757.0","16,825.0","16,320.0","2.04K","-1.84%"
"2022- 12- 18","16,757.0","16,793.0","16,851.0","16,680.0","0.61K","-0.21%"
"2022- 12- 17","16,793.0","16,642.0","16,811.0","16,609.0","1.23K","0.91%"
"2022- 12- 16","16,642.0","17,372.0","17,543.0","16,554.0","3.01K","-4.20%"
"2022- 12- 15","17,372.0","17,810.0","17,867.0","17,311.0","1.92K","-2.46%"
"2022- 12- 14","17,810.0","17,785.0","18,373.0","17,688.0","3.08K","0.14%"
"2022- 12- 13","17,785.0","17,228.0","17,981.0","17,107.0","5.96K","3.23%"
"2022- 12- 12","17,228.0","17,109.0","17,258.0","16,899.0","2.47K","0.70%"
"2022- 12- 11","17,109.0","17,132.0","17,294.0","17,095.0","2.07K","-0.13%"
"2022- 12- 10","17,132.0","17,135.0","17,232.0","17,109.0","0.37K","-0.02%"
"2022- 12- 09","17,135.0","17,246.0","17,326.0","17,090.0","1.42K","-0.64%"
"2022- 12- 08","17,246.0","16,844.0","17,321.0","16,759.0","1.76K","2.39%"
"2022- 12- 07","16,844.0","17,096.0","17,137.0","16,720.0","1.07K","-1.47%"
"2022- 12- 06","17,096.0","16,974.0","17,109.0","16,917.0","0.77K","0.72%"
"2022- 12- 05","16,974.0","17,128.0","17,420.0","16,886.0","1.46K","-0.90%"
"2022- 12- 04","17,128.0","16,890.0","17,199.0","16,886.0","1.41K","1.41%"
"2022- 12- 03","16,890.0","17,091.0","17,135.0","16,870.0","0.69K","-1.18%"
"2022- 12- 02","17,091.0","16,980.0","17,100.0","16,808.0","1.53K","0.65%"
"2022- 12- 01","16,980.0","17,182.0","17,270.0","16,872.0","1.56K","-1.18%"
"2022- 11- 30","17,182.0","16,452.0","17,238.0","16,446.0","2.73K","4.44%"
"2022- 11- 29","16,452.0","16,215.0","16,537.0","16,102.0","1.63K","1.46%"
"2022- 11- 28","16,215.0","16,432.0","16,487.0","16,014.0","1.74K","-1.32%"
"2022- 11- 27","16,432.0","16,459.0","16,600.0","16,422.0","0.49K","-0.16%"
"2022- 11- 26","16,459.0","16,519.0","16,697.0","16,390.0","0.78K","-0.36%"
"2022- 11- 25","16,519.0","16,606.0","16,617.0","16,354.0","1.16K","-0.52%"
"2022- 11- 24","16,606.0","16,619.0","16,792.0","16,468.0","1.21K","-0.08%"
"2022- 11- 23","16,619.0","16,215.0","16,676.0","16,168.0","2.90K","2.49%"
"2022- 11- 22","16,215.0","15,766.0","16,279.0","15,616.0","3.20K","2.85%"
"2022- 11- 21","15,766.0","16,281.0","16,281.0","15,501.0","4.31K","-3.16%"
"2022- 11- 20","16,281.0","16,695.0","16,742.0","16,185.0","1.18K","-2.48%"
"2022- 11- 19","16,695.0","16,645.0","16,811.0","16,600.0","0.61K","0.37%"
"2022- 11- 18","16,634.0","16,827.0","16,837.0","16,550.0","1.81K","-0.43%"
"2022- 11- 17","16,705.0","16,676.0","16,735.0","16,413.0","1.48K","1.05%"
"2022- 11- 16","16,531.0","16,886.0","17,002.0","16,384.0","4.34K","-2.10%"
"2022- 11- 15","16,886.0","16,627.0","17,124.0","16,554.0","6.53K","1.56%"
