시장구분,회사명,종목코드,신고서제출일,수요예측일정,청약일정,납입일,상장예정일,상장일,주관사,주요제품,상장유형,증권구분,업종_x,국적,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률,report_year,매출액,영업이익,당기순이익
코스닥 상장추진,제이아이테크,417500,2022-09-26,2022-10-20,2022-10-26,2022-10-31,2022-11-04,2022-11-04,미래에셋증권 주식회사,반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스,신규상장,주권,기타 화학제품 제조업,대한민국,27662.0,100.0,16000.0,8196186.0,14400.0,-10.0,11900.0,-25.6,10450.0,-34.7,10870.0,-32.1,0.0,0.0,0.0,0.0,2022,20497336.0,5658097.0,4732681.0
코스닥 상장추진,펨트론,168360,2022-09-23,2022-11-08,2022-11-15,2022-11-18,2022-11-24,2022-11-24,하나증권주식회사,3D 정밀측정 검사장비,신규상장,주권,특수 목적용 기계 제조업,대한민국,8800.0,500.0,8000.0,10644142.0,9820.0,22.8,9210.0,15.1,6400.0,-20.0,7860.0,-1.8,0.0,0.0,0.0,0.0,2022,57736502.0,4164927.0,4490718.0
코스닥 상장추진,엔젯,419080,2022-09-23,2022-10-27,2022-11-03,2022-11-08,2022-11-18,2022-11-18,미래에셋증권 주식회사,"EHD 잉크젯 프린터, EHD 코터",신규상장,주권,특수 목적용 기계 제조업,대한민국,21000.0,500.0,10000.0,10517817.0,9000.0,-10.0,10850.0,8.5,10900.0,9.0,16300.0,63.0,0.0,0.0,0.0,0.0,2022,10054924.0,1767080.0,-29867129.0
코스닥 상장추진,큐알티,405100,2022-09-22,2022-10-18,2022-10-24,2022-10-27,2022-11-02,2022-11-02,미래에셋증권 주식회사,반도체 신뢰성 검사 및 종합분석,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,43582.0,500.0,44000.0,3984556.0,14354.0,-2.3,12801.0,-12.8,11550.0,-21.4,11630.0,-20.8,0.0,0.0,0.0,0.0,2022,70488997.0,18667056.0,15478142.0
코스닥 상장추진,저스템,417840,2022-09-19,2022-10-13,2022-10-19,2022-10-24,2022-10-28,2022-10-28,미래에셋증권 주식회사,반도체 습도제어 System,신규상장,주권,특수 목적용 기계 제조업,대한민국,18060.0,500.0,10500.0,6941600.0,11000.0,4.8,12400.0,18.1,8880.0,-15.4,9140.0,-13.0,17310.0,64.9,0.0,0.0,2022,44826695.0,7193676.0,5731882.0
코스닥 상장추진,산돌,419120,2022-09-16,2022-10-12,2022-10-18,2022-10-21,2022-10-27,2022-10-27,KB증권㈜,리테일 폰트 등,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,28012.0,500.0,18800.0,7671826.0,24150.0,28.5,20850.0,10.9,14500.0,-22.9,13550.0,-27.9,13710.0,-27.1,0.0,0.0,2022,11197397.0,4529094.0,172928.0
코스닥 상장추진,탑머티리얼,360070,2022-09-01,2022-09-27,2022-10-04,2022-10-07,2022-10-18,2022-10-18,한국투자증권㈜,"이차전지 시스템 엔지니어링, 전극소재, 양극소재",신규상장,주권,일차전지 및 축전지 제조업,대한민국,60000.0,500.0,30000.0,7984343.0,33500.0,0.0,37000.0,0.0,45450.0,0.0,32050.0,0.0,80000.0,0.0,0.0,0.0,2022,31904393.0,4819979.0,4284441.0
코스닥 상장추진,뉴로메카,348340,2022-08-31,2022-10-20,2022-10-26,2022-10-31,2022-11-04,2022-11-04,대신증권㈜,"협동로봇, 협동로봇 자동화 플랫폼, 로봇제어기 등",신규상장,주권,특수 목적용 기계 제조업,대한민국,25350.0,500.0,16900.0,9855420.0,24250.0,43.5,21050.0,24.6,15850.0,-6.2,23200.0,37.3,0.0,0.0,0.0,0.0,2022,7333081.0,-2743394.0,-6667638.0
코스닥 상장추진,오에스피,368970,2022-08-25,2022-09-27,2022-10-04,2022-10-07,2022-10-14,2022-10-14,대신증권㈜,프리미엄 반려동물 사료,신규상장,주권,동물용 사료 및 조제식품 제조업,대한민국,17270.0,500.0,8400.0,9346160.0,10850.0,29.2,10050.0,19.6,6840.0,-18.6,5180.0,-38.3,7490.0,-10.8,0.0,0.0,2022,15694538.0,2803559.0,2876300.0
코스닥 상장추진,모델솔루션,417970,2022-08-24,2022-09-19,2022-09-26,2022-09-29,2022-10-07,2022-10-07,KB증권㈜,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스",신규상장,주권,특수 목적용 기계 제조업,대한민국,27000.0,500.0,27000.0,6396700.0,29500.0,9.3,30900.0,14.4,22850.0,-15.4,17150.0,-36.5,26300.0,-2.6,0.0,0.0,2022,60078878.0,8526295.0,7086006.0
코스닥 상장추진,플라즈맵,405000,2022-08-19,2022-10-05,2022-10-12,2022-10-17,2022-10-21,2022-10-21,미래에셋증권 주식회사,플라즈마 멸균기 및 표면처리기기,신규상장,주권,의료용 기기 제조업,대한민국,12397.0,500.0,7000.0,17706940.0,8420.0,20.3,6700.0,-4.3,6860.0,-2.0,6150.0,-12.1,6150.0,-12.1,0.0,0.0,2022,6348540.0,-10643870.0,-21682344.0
코스닥 상장추진,에스비비테크,389500,2022-08-18,2022-09-15,2022-09-22,2022-09-27,2022-10-04,2022-10-17,미래에셋증권 주식회사,"베어링, 감속기",신규상장,주권,일반 목적용 기계 제조업,대한민국,22320.0,500.0,12400.0,5944490.0,23900.0,92.7,31050.0,150.4,24750.0,99.6,20250.0,63.3,64500.0,420.2,0.0,0.0,2022,6779379.0,-2227144.0,-2815924.0
코스닥 상장추진,핀텔,291810,2022-08-17,2022-10-04,2022-10-11,2022-10-14,2022-10-20,2022-10-20,대신증권㈜,AI 영상 분석 솔루션 및 소프트웨어,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,17800.0,500.0,8900.0,9957412.0,15300.0,71.9,10850.0,21.9,11050.0,24.2,7120.0,-20.0,7300.0,-18.0,0.0,0.0,2022,8209143.0,-853260.0,-2416436.0
코스닥 상장추진,이노룰스,296640,2022-08-17,2022-09-22,2022-09-27,2022-09-30,2022-10-07,2022-10-07,엔에이치투자증권주식회사,"InnoRules, InnoProduct",신규상장,주권,소프트웨어 개발 및 공급업,대한민국,14434.0,500.0,12500.0,5141760.0,13150.0,5.2,15850.0,26.8,13150.0,5.2,9130.0,-27.0,12180.0,-2.6,0.0,0.0,2022,15979685.0,3314891.0,3009484.0
코스닥 상장추진,오픈엣지테크놀로지,394280,2022-08-16,2022-09-07,2022-09-15,2022-09-20,2022-09-26,2022-09-26,삼성증권㈜,시스템 반도체 IP,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,33850.0,100.0,10000.0,20870474.0,10800.0,8.0,10050.0,0.5,9600.0,-4.0,9220.0,-7.8,23050.0,130.5,0.0,0.0,2022,5185868.0,-10335235.0,-13746427.0
코스닥 상장추진,샤페론,378800,2022-08-12,2022-09-29,2022-10-06,2022-10-12,2022-10-19,2022-10-19,엔에이치투자증권주식회사,합성신약 및 항체치료제신약 기술제품 및 기술이전,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,13735.0,500.0,5000.0,22231781.0,9000.0,80.0,8630.0,72.6,8070.0,61.4,7390.0,47.8,6150.0,23.0,0.0,0.0,2022,522840.0,-10466259.0,-23833245.0
코스닥 상장추진,더블유씨피,393890,2022-07-07,2022-09-14,2022-09-20,2022-09-23,2022-09-30,2022-09-30,"신한투자증권 주식회사,KB증권㈜",이차전지용 분리막,신규상장,주권,일차전지 및 축전지 제조업,대한민국,432000.0,500.0,60000.0,33696518.0,54000.0,-10.0,41700.0,-30.5,49850.0,-16.9,43800.0,-27.0,43000.0,-28.3,0.0,0.0,2022,185498674.0,40855746.0,-9963987.0
