(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
뉴프렉스,085670,2006-01-17,"137,368,762","157,437,071","180,120,861","208,437,009",0,"-8,868,173","-11,589,343","-4,392,723","12,897,102",0,"-5,770,275","-12,297,586","-2,771,420","11,361,560",0
유진테크,084370,2006-01-17,"174,186,196","160,930,675","289,798,903","262,726,439",0,"45,248,877","34,722,911","89,843,905","66,960,697",0,"32,817,391","2,616,393","61,686,604","52,063,638",0
크리스탈지노믹스,083790,2006-01-06,"4,397,571","11,005,137","6,263,553","5,873,467",0,"-9,650,230","-3,699,388","-10,648,898","-22,074,602",0,"-38,026,120","-7,905,540","-2,324,872","-26,995,057",0
헬릭스미스,084990,2005-12-29,"4,454,516","4,300,705","2,811,998","4,620,116",0,"-36,488,089","-55,775,941","-46,498,422","-49,695,895",0,"-107,149,033","-82,963,123","-54,043,711","-41,707,645",0
바이오니아,064550,2005-12-29,"22,252,596","158,174,270","127,260,149","64,771,213",0,"-13,957,761","95,723,338","29,269,628","-14,683,740",0,"-12,497,078","50,777,787","14,434,321","-12,211,136",0
인콘,083640,2005-12-27,"30,752,375","50,521,118","56,485,579","55,309,108",0,"-1,609,785","2,167,323","-3,268,957","1,060,869",0,"-11,279,998","-274,264","-4,398,466","3,550,021",0
차바이오텍,085660,2005-12-27,"30,319,513","26,759,597","35,287,593","42,325,924",0,"-308,276","273,356","-1,757,444","-879,296",0,"43,798,228","-7,080,304","-8,818,115","-61,892,834",0
현대글로비스,086280,2005-12-26,"14,474,535,954","12,909,957,670","17,572,701,950","21,528,979,386",0,"665,772,254","493,954,313","894,567,706","1,595,700,562",0,"376,523,671","521,318,960","630,270,008","1,209,437,646",0
와이엔텍,067900,2005-12-23,"86,238,104","99,975,458","106,326,791","76,706,737",0,"22,864,196","29,956,314","33,031,371","26,860,676",0,"16,774,496","20,370,653","24,408,211","20,195,267",0
대봉엘에스,078140,2005-12-23,"56,626,774","61,215,808","65,136,624","75,236,177",0,"1,623,734","884,178","3,203,579","2,591,612",0,"1,801,617","13,268,848","3,064,661","3,039,860",0
케이엠,083550,2005-12-20,"84,902,889","143,036,628","104,421,831","111,996,018",0,"3,878,196","35,443,788","4,117,600","4,804,000",0,"5,937,181","29,587,066","8,340,285","4,819,315",0
티비에이치글로벌,084870,2005-12-19,"210,778,625","173,139,708","188,075,550","203,140,998",0,"4,432,296","-6,925,018","5,337,806","4,137,618",0,"-77,400,561","-30,794,073","-19,619,878","4,929,723",0
수성샐바시온,084180,2005-12-16,"22,696,866","20,678,175","26,830,088","32,137,923",0,"-716,504","731,847","380,949","-1,641,309",0,"-6,179,992","-2,186,349","-10,709,263","-6,739,813",0
엠피씨플러스,050540,2005-12-12,"115,581,909","110,690,814","75,951,208","56,008,464",0,"-8,026,817","637,449","1,078,807","-1,681,756",0,"-32,843,399","-1,708,764","136,134","-963,317",0
하나금융지주,086790,2005-12-12,0,0,0,0,0,0,0,0,0,0,"1,160,092,000","321,763,000","1,131,398,000","1,146,546,000",0
제일연마,001560,2005-12-09,"69,029,654","63,627,427","68,746,299","71,732,783",0,"3,442,701","1,937,411","4,478,790","2,955,130",0,"4,265,576","2,394,421","4,361,669","19,601",0
모다이노칩,080420,2005-12-06,"143,900,823","136,405,449","142,973,371","152,376,149",0,"23,970,194","17,426,386","23,621,398","23,540,914",0,"5,019,742","8,721,487","11,688,726","1,440,669",0
비에이치아이,083650,2005-12-02,"218,870,226","235,216,481","233,458,106","320,649,043",0,"-8,919,014","11,952,275","-28,123,104","7,651,252",0,"-14,287,870","3,979,205","-33,247,582","-20,570,854",0
케스피온,079190,2005-11-29,"22,616,883","13,184,158","18,505,234","9,826,111",0,"1,861,451","-5,447,181","1,352,283","-5,106,589",0,"637,281","-2,423,884","5,020,149","-13,268,315",0
현대리바트,079430,2005-11-22,"1,217,035,684","1,362,608,795","1,386,038,274","1,463,233,247",0,"22,948,821","34,784,267","19,473,558","-27,307,133",0,"19,530,738","24,903,208","12,414,004","-49,536,549",0
자연과환경,043910,2005-11-18,"31,434,561","29,000,331","54,833,663","73,636,294",0,"850,450","-4,779,529","-5,212,053","1,065,163",0,"-2,055,938","-4,876,096","-10,092,977","893,224",0
비보존 제약,082800,2005-11-18,"43,901,057","28,164,870","8,555,584","15,986,208",0,"1,218,300","-6,005,788","-11,278,752","-14,902,175",0,"-26,832,347","-41,798,661","-70,854,432","-35,273,002",0
와토스코리아,079000,2005-11-15,"18,321,002","18,310,579","20,027,004","19,511,073",0,"505,798","156,507","404,890","136,819",0,"1,803,041","1,454,175","1,421,423","5,312,081",0
대한제강,084010,2005-10-31,"883,278,810","770,678,170","1,146,676,655","1,283,527,751",0,"36,863,249","62,863,880","120,022,718","140,978,130",0,"24,007,362","10,339,461","95,946,703","128,769,206",0
폴라리스오피스,041020,2005-10-28,"17,623,813","18,813,753","18,187,660","23,245,233",0,"-3,197,749","-4,949,790","2,070,738","2,624,762",0,"-6,809,807","332,336","-2,270,191","13,419,147",0
디아크,078590,2005-10-27,"37,772,354","37,467,855","42,609,779","43,538,763",0,"948,690","-10,765,064","1,377,704","2,588,628",0,"-6,766,841","-179,115,975","-86,700,570","9,733,819",0
서린바이오,038070,2005-10-25,"50,515,306","60,880,234","76,174,385","97,970,076",0,"1,880,224","4,739,794","7,598,361","8,778,660",0,"8,313,596","4,693,153","15,458,527","9,182,482",0
새론오토모티브,075180,2005-10-21,"121,102,993","106,767,200","100,333,636","103,158,368",0,"8,018,545","118,084","1,024,514","-3,032,189",0,"10,603,672","14,044,168","9,524,212","-11,228,228",0
그린케미칼,083420,2005-10-20,"231,874,453","242,398,001","286,224,270","324,927,356",0,"7,810,600","14,708,306","20,850,252","17,219,652",0,"5,580,406","10,340,154","15,928,806","2,870,341",0
가비아,079940,2005-10-19,"58,254,105","64,097,025","71,873,259","77,418,922",0,"4,889,113","7,129,578","7,607,659","7,571,668",0,"4,654,769","4,758,214","4,413,118","7,351,687",0
덕산하이메탈,077360,2005-10-14,"51,758,113","55,234,079","68,011,500","100,246,784",0,"4,129,129","6,698,453","7,748,058","11,730,683",0,"5,059,315","6,853,456","11,906,159","-16,878,601",0
아바코,083930,2005-10-11,"225,139,216","199,782,044","168,313,904","214,493,066",0,"23,390,716","23,607,321","10,081,344","13,560,267",0,"20,062,417","14,628,786","12,457,623","18,418,925",0
하나마이크론,067310,2005-10-11,"298,685,547","311,271,481","368,189,486","608,136,889",0,"3,410,081","1,451,209","28,872,004","52,170,309",0,"7,428,241","-16,618,862","18,136,262","16,537,524",0
엘오티베큠,083310,2005-10-05,"147,403,941","164,960,766","246,168,813","289,951,772",0,"-252,393","3,145,643","21,363,217","19,673,898",0,"1,624,255","3,247,661","20,209,737","22,563,678",0
코스나인,082660,2005-10-05,"18,356,749","20,449,345","11,412,556","8,501,783",0,"-3,248,622","-1,674,303","-5,111,893","-6,756,486",0,"-28,904,051","-11,362,830","-15,662,377","-10,701,420",0
이상네트웍스,080010,2005-09-30,"24,699,900","23,831,505","29,155,603","30,771,426",0,"1,133,536","2,272,649","4,843,176","5,117,601",0,"546,055","6,500,693","2,872,827","3,541,304",0
대상홀딩스,084690,2005-08-17,"29,831,693","25,992,221","27,852,062","30,810,812",0,"18,498,257","12,405,028","11,859,995","10,344,735",0,"1,339,599","2,398,409","3,638,898","24,016,619",0
아리온,058220,2005-08-05,"23,341,145",0,0,0,0,"1,415,652",0,0,0,0,"-6,293,540",0,0,0,0
코아스,071950,2005-08-04,"111,573,398","97,586,708","109,319,588","94,195,558",0,"3,060,398","-1,864,224","-4,877,442","-1,422,220",0,"2,191,124","-1,381,739","-5,402,633","-2,228,559",0
우리바이오,082850,2005-07-29,"44,617,544","31,051,975","36,040,275","30,901,420",0,"2,895,101","-3,522,203","-451,133","914,094",0,"1,587,371","-6,318,408","2,240,804","693,503",0
메디포스트,078160,2005-07-29,"45,803,342","48,626,807","54,914,968","61,393,787",0,"-7,510,479","-2,192,778","-3,653,533","-10,767,576",0,"-13,875,892","-1,328,868","1,005,667","6,020,556",0
이월드,084680,2005-07-26,"183,199,029","131,483,805","125,777,555","126,461,963",0,"17,433,450","-14,087,152","1,934,269","14,610,430",0,"12,866,243","-15,416,352","-13,811,440","5,633,004",0
모두투어,080160,2005-07-26,"242,318,994","42,691,971","4,084,725","32,637,015",0,"5,348,422","-11,235,120","-20,424,236","-14,209,695",0,"4,111,074","-65,425,234","-4,891,656","-19,522,830",0
동양고속,084670,2005-07-25,"140,415,225","83,398,986","81,012,199","104,226,140",0,"10,076,316","-21,839,774","-21,830,817","-11,048,901",0,"29,751,395","-16,394,937","-23,923,153","-12,789,577",0
한미반도체,042700,2005-07-22,"119,171,028","255,740,538","371,740,896","323,948,862",0,"14,391,583","66,007,007","119,521,543","109,531,252",0,"21,374,601","47,386,518","96,870,198","91,469,843",0
가온그룹,078890,2005-07-12,"591,488,593","375,718,046","317,412,483","370,764,562",0,"30,145,026","6,607,806","6,413,651","4,145,024",0,"17,232,425","3,585,838","-2,015,333","-1,556,072",0
쏠리드,050890,2005-07-08,"161,767,640","128,417,789","164,726,332","222,372,559",0,"-1,247,348","-16,237,428","8,010,532","34,803,054",0,"10,125,335","-7,348,362","24,490,385","28,305,674",0
동일산업,004890,2005-06-30,"320,271,940","282,032,282","405,515,547","441,052,792",0,"-3,497,615","-1,359,819","39,677,251","20,091,259",0,"1,413,347","6,716,204","39,416,565","18,622,026",0
젬백스,082270,2005-06-24,"40,814,302","65,663,215","60,370,608","75,804,116",0,"-5,625,252","4,268,650","-2,219,237","-3,072,231",0,"-79,331,556","978,635","8,529,510","-23,425,932",0
옵트론텍,082210,2005-06-24,"163,866,344","140,224,957","110,750,063","79,070,523",0,"21,562,921","-5,897,019","-32,482,035","-53,127,731",0,"6,887,039","-18,037,953","-28,629,205","-71,508,356",0
플랜티넷,075130,2005-06-10,"9,784,073","9,029,759","10,475,642","11,082,787",0,"1,372,230","-464,938","-957,896","-512,246",0,"1,876,361","1,102,420","526,338","213,386",0
삼호개발,010960,2005-05-12,"360,826,473","355,732,845","310,652,326","300,844,920",0,"22,272,954","11,292,446","11,719,264","2,168,970",0,"22,379,143","14,518,269","12,142,527","4,978,376",0
금호타이어,073240,2005-02-17,"1,820,850,830","1,708,313,284","2,058,953,576","2,834,274,411",0,"79,681,468","-5,293,916","-63,369,575","4,447,502",0,"-13,563,637","-403,840,383","-70,043,435","-149,488,869",0
이노와이어리스,073490,2005-02-04,"64,998,412","63,212,916","61,175,832","71,068,390",0,"12,536,275","9,769,921","10,726,729","15,249,814",0,"6,971,738","6,698,188","9,690,552","17,715,634",0
인베니아,079950,2005-02-04,"146,436,351","141,250,256","134,225,180","56,617,933",0,"4,676,043","4,820,119","9,441,454","-12,863,290",0,"1,908,018","-5,489,687","12,604,272","-1,182,508",0
한창산업,079170,2005-02-01,"65,366,486","56,285,676","73,739,923","99,300,011",0,"992,515","936,481","3,245,497","7,107,464",0,"1,173,930","1,175,588","3,972,387","6,120,358",0
동양이엔피,079960,2005-02-01,"464,578,791","428,477,666","484,992,938","508,001,036",0,"28,818,543","32,433,896","5,138,320","16,779,638",0,"27,312,434","16,298,667","14,779,109","18,169,806",0
제주반도체,080220,2005-02-01,"109,039,431","110,454,753","176,599,278","158,258,063",0,"5,605,684","2,719,780","18,627,918","26,068,770",0,"-3,920,235","4,620,315","13,450,934","23,665,604",0
디이엔티,079810,2005-01-26,"29,443,763","22,807,840","42,035,184","50,117,334",0,"-6,348,483","-6,242,678","1,182,144","-4,815,191",0,"-6,982,922","-9,781,426","997,764","-5,766,385",0
에스엔유,080000,2005-01-25,"64,233,361","101,697,263","113,696,382","123,421,714",0,"8,745,151","8,624,437","6,119,200","6,474,201",0,"7,544,898","4,925,192","8,461,761","7,453,913",0
iMBC,052220,2005-01-21,"44,570,903","34,996,054","35,949,724","36,232,300",0,"1,544,521","700,121","1,913,015","2,350,651",0,"2,053,006","967,485","966,584","1,599,903",0
서산,079650,2005-01-21,"24,150,444","21,931,127","25,027,530","21,421,377",0,"-526,687","-1,174,767","2,933,982","435,282",0,"138,652","-1,394,685","3,004,052","1,124,944",0
KX하이텍,052900,2005-01-18,"57,821,525","74,741,113","94,029,163","107,906,978",0,"3,851,108","7,250,222","6,034,709","8,972,516",0,"2,528,859","1,504,661","3,830,431","9,368,262",0
손오공,066910,2005-01-07,"69,561,788","81,661,930","72,011,103","63,434,801",0,"-2,319,453","-1,413,239","1,021,633","-6,196,028",0,"-2,184,927","-1,920,650","3,216,031","-7,698,292",0
미래컴퍼니,049950,2005-01-04,"92,458,445","54,225,570","110,910,566","149,558,261",0,"3,445,096","-18,175,292","4,347,645","25,583,502",0,"11,571,786","-15,151,059","7,335,759","27,895,753",0
아이크래프트,052460,2005-01-03,"64,937,461","81,705,834","86,362,758","93,736,875",0,"343,237","-516,357","1,182,976","-3,221,556",0,"53,709","441,600","1,532,734","-1,901,026",0
CJ CGV,079160,2004-12-24,"1,046,370,347","325,759,755","328,612,695","706,612,535",0,"75,206,714","-203,660,870","-163,568,294","-12,367,628",0,"-66,062,361","-466,502,070","-261,053,547","-120,806,416",0
일진다이아,081000,2004-12-22,"65,882,995","50,050,154","61,608,468","62,281,258",0,"624,568","-5,212,148","-3,985,097","-5,246,520",0,"1,573,149","-5,586,940","88,983,754","-15,684,749",0
메가스터디,072870,2004-12-21,"30,030,176","40,055,983","50,273,647","55,261,686",0,"873,790","2,217,581","7,875,824","9,555,662",0,"5,536,195","18,686,947","16,284,043","32,167,254",0
케이에스피,073010,2004-12-17,"29,381,172","39,437,590","43,826,656","63,668,532",0,"1,835,363","2,123,356","2,021,349","3,481,312",0,"1,641,249","1,244,854","2,258,520","3,963,973",0
KG모빌리언스,046440,2004-12-14,"125,600,384","204,350,244","239,642,276","225,040,614",0,"32,737,561","42,653,481","43,387,439","40,915,665",0,"17,906,001","23,380,192","29,156,439","27,915,782",0
텔레칩스,054450,2004-12-10,"132,011,261","100,737,591","136,417,731","150,404,312",0,"8,037,236","-7,972,182","8,725,826","9,850,359",0,"8,315,944","-9,413,095","7,031,402","45,897,423",0
대주전자재료,078600,2004-12-10,"87,204,973","116,292,723","152,501,528","130,745,876",0,"565,352","8,925,180","18,045,735","13,488,921",0,"-1,851,985","5,820,918","21,155,064","-611,161",0
HB테크놀러지,078150,2004-12-08,"223,721,604","243,262,950","144,417,637","141,623,382",0,"852,450","8,054,940","-19,697,757","2,267,543",0,"1,815,645","5,156,994","-9,569,696","20,960,790",0
도이치모터스,067990,2004-12-03,"896,692,398","1,164,362,747","1,373,796,322","1,595,612,437",0,"28,987,521","25,624,059","36,601,124","38,634,904",0,"15,260,318","12,144,983","20,595,685","26,929,213",0
유니드,014830,2004-12-03,"548,765,401","566,442,618","456,920,777","792,569,992",0,"27,615,994","36,785,244","40,783,720","95,951,025",0,"37,802,288","45,213,591","104,572,057","117,383,163",0
토비스,051360,2004-11-19,"418,056,153","271,122,967","251,121,591","262,404,352",0,"28,199,608","1,390,010","12,595,721","18,620,544",0,"21,504,982","-2,194,221","3,977,194","12,720,591",0
제넨바이오,072520,2004-10-29,"11,646,248","11,845,685","8,894,669","9,372,688",0,"-11,931,152","-11,700,763","-12,402,378","-12,788,997",0,"-43,082,325","-19,449,529","-34,072,922","-36,015,325",0
상신브레이크,041650,2004-10-27,"304,956,150","276,364,616","314,642,844","373,474,666",0,"21,151,188","12,013,175","17,610,287","26,834,891",0,"11,919,205","2,679,862","5,851,951","11,131,495",0
국일제지,078130,2004-10-22,"83,852,676","100,061,026","95,450,778","112,499,513",0,"1,009,106","1,320,746","-5,301,759","-10,150,732",0,"-38,326,422","-475,294","-8,235,570","-14,579,602",0
DMS,068790,2004-10-01,"193,234,089","223,494,762","205,472,801","280,848,001",0,"17,274,188","28,955,908","27,826,470","53,146,442",0,"12,539,995","36,393,046","30,408,954","31,297,110",0
인팩,023810,2004-09-21,"124,799,323","177,827,741","207,788,910","236,142,858",0,"-5,674,090","3,275,979","7,280,598","7,431,623",0,"-720,928","7,594,578","7,510,536","6,211,434",0
코드네이처,078940,2004-08-27,"30,758,360","26,732,697","13,407,493","3,316,056",0,"1,567,672","-1,681,386","-4,364,530","-9,925,567",0,"-8,097,640","-2,128,177","-4,576,825","-13,818,226",0
시너지이노베이션,048870,2004-08-13,"11,002,162","20,602,617","18,159,515","13,522,035",0,"731,494","7,201,871","2,141,331","785,844",0,"5,243,598","-24,432,791","2,002,830","14,233,920",0
신성델타테크,065350,2004-08-06,"139,545,822","138,522,896","184,461,080","161,473,285",0,"7,827,199","8,477,020","24,956,384","14,702,360",0,"7,307,397","9,090,011","25,191,018","14,895,788",0
유니퀘스트,077500,2004-08-05,"325,382,224","398,938,432","585,700,082","729,811,429",0,"12,925,238","16,559,019","32,672,592","47,569,618",0,"4,393,075","19,282,590","38,726,169","29,707,608",0
GS,078930,2004-08-05,"365,336,000","306,286,000","230,570,000","563,402,000",0,"309,032,000","241,300,000","159,551,000","479,123,000",0,"277,528,000","-53,296,000","299,847,000","445,477,000",0
다스코,058730,2004-08-02,"214,770,746","195,878,325","255,230,457","261,643,432",0,"3,350,855","-6,860,957","-1,991,507","10,392,347",0,"2,482,284","-8,054,706","-5,187,181","2,968,825",0
한국경제TV,039340,2004-07-30,"76,224,204","93,303,068","116,168,396","86,227,687",0,"14,405,634","18,337,570","25,440,835","8,300,557",0,"12,192,842","15,495,356","21,831,007","8,942,205",0
LG디스플레이,034220,2004-07-23,"21,658,329,000","22,799,273,000","28,364,914,000","24,131,172,000",0,"-1,784,245,000","-812,979,000","721,931,000","-3,201,463,000",0,"-2,639,893,000","-513,262,000","552,173,000","-3,191,387,000",0
다날,064260,2004-07-23,"163,395,406","195,200,999","224,119,870","240,720,339",0,"24,536,564","26,113,513","20,640,843","20,505,161",0,"30,391,147","24,550,740","56,411,707","-13,416,266",0
텔코웨어,078000,2004-07-20,"41,789,353","36,401,943","34,822,430","42,568,935",0,"3,363,860","546,070","1,154,359","2,855,339",0,"4,234,721","1,903,928","1,833,659","3,850,592",0
형지I&C,011080,2004-07-02,"102,100,436","67,148,816","65,538,382","70,495,737",0,"450,766","-5,330,611","-2,904,938","2,393,185",0,"-88,042","-6,758,282","-3,970,958","-654,189",0
비케이홀딩스,050090,2004-06-29,"13,301,419","10,109,533","9,421,265","17,289,421",0,"201,373","-1,379,028","-3,096,087","-2,004,767",0,"-1,963,153","-4,391,846","-3,043,129","-3,057,061",0
코엔텍,029960,2004-06-18,"71,114,061","70,829,816","74,094,721","90,286,421",0,"28,446,448","31,035,919","36,565,514","48,363,480",0,"24,126,961","25,539,177","29,649,871","39,585,283",0
YBM넷,057030,2004-06-08,"60,080,366","52,604,367","58,331,473","62,562,530",0,"2,627,668","-1,202,892","3,762,912","4,891,198",0,"1,783,632","-1,614,657","2,609,533","7,777,757",0
아미노로직스,074430,2004-06-04,"18,980,396","17,650,767","22,848,960","27,336,928",0,"-761,038","2,476,097","4,103,892","7,034,645",0,"-1,200,804","2,139,891","5,359,929","-7,281,575",0
CS,065770,2004-06-04,"32,156,921","42,958,085","41,091,897","35,182,635",0,"-720,657","413,260","230,750","-4,122,282",0,"-339,633","227,939","-2,380,012","-3,462,301",0
테라젠이텍스,066700,2004-05-27,"65,804,560","59,296,134","67,925,624","90,202,303",0,"846,771","-6,545,532","-9,878,716","7,680,028",0,"41,978,811","-6,812,839","-9,348,488","10,913,139",0
디에이피,066900,2004-05-14,"270,484,203","301,339,709","307,896,912","327,913,392",0,"807,517","8,150,326","7,692,729","12,833,347",0,"996,179","5,014,753","8,155,243","9,111,445",0
한양디지텍,078350,2004-05-14,"67,287,737","159,637,091","303,255,907","484,637,711",0,"-5,738,865","5,234,140","27,447,789","48,779,436",0,"-5,510,626","4,659,426","23,046,941","35,006,871",0
STX엔진,077970,2004-05-10,"577,489,943","557,769,781","458,282,068","514,735,383",0,"25,111,082","11,517,588","237,203","-11,885,691",0,"15,939,294","26,048,330","-2,030,158","-28,089,214",0
동국알앤에스,075970,2004-02-13,"71,822,024","63,878,507","70,559,497","83,015,492",0,"1,837,483","1,539,999","1,397,233","2,584,980",0,"1,148,160","1,134,668","1,634,701","2,166,764",0
라이트론,069540,2004-02-13,"110,398,230","17,240,472","41,663,726","48,185,234",0,"25,364,249","-19,099,637","-2,246,524","1,618,462",0,"3,189,837","-19,273,945","-5,828,401","268,525",0
듀오백,073190,2004-02-06,"28,595,364","43,211,585","38,281,875","31,222,834",0,"-2,197,997","702,483","-3,338,587","-4,321,097",0,"-3,010,567","783,316","-4,154,051","-3,765,946",0
삼진엘앤디,054090,2004-02-06,"83,754,159","65,093,040","88,140,897","113,031,008",0,"1,661,924","-5,950,305","1,285,760","-1,966,838",0,"5,727,459","-3,621,342","267,294","-58,623",0
에스텍파마,041910,2004-02-06,"46,489,682","61,102,371","60,290,903","62,036,333",0,"3,567,012","8,134,510","4,309,847","3,161,739",0,"15,087,412","10,940,230","5,146,048","-6,363,853",0
NICE,034310,2004-02-04,"44,669,568","38,980,661","43,252,024","47,635,806",0,"27,467,348","19,195,664","21,844,330","24,885,987",0,"5,118,265","-14,069,974","25,209,707","-6,797,228",0
대교,019680,2004-02-03,"700,272,153","586,646,476","593,165,825","589,098,718",0,"29,083,275","-13,441,790","-18,647,036","-36,853,960",0,"18,613,135","-29,816,136","-46,668,051","-135,339,017",0
에이팸,073070,2004-01-28,"47,823,695","15,311,764",0,0,0,"-5,199,063","-8,414,815",0,0,0,"-52,112,326","-10,174,126",0,0,0
스포츠서울,039670,2004-01-16,"12,060,960",0,0,0,0,"-6,008,933",0,0,0,0,"-43,457,102",0,0,0,0
세진티에스,067770,2004-01-09,"10,848,483","18,670,876","16,826,427","9,585,337",0,"-557,312","1,936,157","2,739,386","570,764",0,"-2,511,693","1,835,916","3,570,131","1,126,724",0
한솔인티큐브,070590,2004-01-08,"58,966,376","52,588,843","58,250,502","53,451,798",0,"-1,012,658","-5,520,286","638,258","236,906",0,"-888,970","1,706,667","583,118","-4,258,390",0
어반리튬,073570,2004-01-06,"24,052,132","25,375,540","17,911,456","20,721,223",0,"881,873","494,580","-5,372,812","-3,749,509",0,"1,401,101","-3,270,769","-13,258,578","89,591,513",0
테라사이언스,073640,2004-01-06,"16,168,955","16,078,849","21,987,507","22,484,284",0,"-1,175,157","622,505","-665,586","884,247",0,"-1,307,818","-10,262,252","-1,504,408","21,181,544",0
우주일렉트로,065680,2004-01-02,"190,004,370","194,647,226","201,247,759","184,290,810",0,"18,987,078","21,628,044","26,354,598","22,976,142",0,"9,215,326","16,980,651","15,624,144","18,093,033",0
피에이치씨,057880,2003-12-29,"8,178,285","22,588,526","35,707,330","10,951,748",0,"-5,582,784","2,373,692","-17,100,101","-21,638,272",0,"-26,749,156","1,732,270","-29,432,594","-64,992,762",0
기업은행,024110,2003-12-24,0,0,0,0,0,"1,945,573,000","1,751,447,000","2,724,143,000","3,297,689,000",0,0,0,0,0,0
이엔플러스,074610,2003-12-23,"34,245,313","25,253,145","51,644,018","22,891,082",0,"-10,740,049","-5,243,830","-4,307,825","-13,456,720",0,"-39,106,141","-12,292,659","-24,301,654","-38,636,865",0
아프리카TV,067160,2003-12-19,"154,983,900","186,974,363","262,651,005","304,340,329",0,"42,024,821","57,077,737","94,191,463","89,475,000",0,"30,152,450","35,019,353","69,907,454","57,987,229",0
버킷스튜디오,066410,2003-12-19,"17,584,675","23,256,432","26,399,116","20,686,667",0,"831,136","357,443","-2,084,640","-1,977,810",0,"-2,691,282","-5,130,526","50,868,341","-102,473,637",0
드림어스컴퍼니,060570,2003-12-19,"174,357,763","221,815,310","239,616,610","257,714,680",0,"-23,720,108","-8,688,893","6,526,627","-9,721,547",0,"-48,581,156","-18,548,423","-15,900,253","27,895,283",0
원익QnC,074600,2003-12-12,"174,218,148","236,824,290","313,154,673","354,982,700",0,"25,997,384","47,736,909","64,499,720","67,233,580",0,"15,570,543","43,627,521","52,349,559","46,754,351",0
로체시스템즈,071280,2003-11-14,"79,882,256","179,791,558","110,051,852","143,372,031",0,"4,132,822","8,262,077","11,975,802","24,717,133",0,"1,097,343","7,535,589","8,403,855","18,525,961",0
에스텍,069510,2003-11-14,"216,795,154","197,955,005","238,316,183","382,743,751",0,"1,201,408","46,464","-8,419,109","9,597,672",0,"6,349,994","10,370,405","1,892,163","16,347,952",0
오텍,067170,2003-11-14,"100,678,798","135,122,820","100,923,047","115,611,049",0,"1,380,313","4,190,656","-183,040","319,354",0,"11,050,767","5,003,086","-436,962","-30,039,859",0
현대에버다임,041440,2003-11-14,"225,779,535","206,862,512","264,713,172","358,801,045",0,"2,328,200","-6,139,315","-2,298,346","17,561,928",0,"765,118","-15,434,142","-20,664,820","13,396,682",0
키이스트,054780,2003-11-14,"29,066,328","47,192,564","46,201,733","62,044,179",0,"-1,649,906","1,620,485","1,021,585","-2,403,490",0,"-6,183,596","8,543,019","-233,733","-1,666,744",0
한솔홈데코,025750,2003-11-04,"256,728,513","248,115,961","257,504,996","281,940,171",0,"-1,294,684","4,783,134","10,099,994","4,907,692",0,"-3,470,736","2,272,252","7,541,894","5,918,024",0
중앙백신,072020,2003-10-31,"32,902,915","36,317,532","40,911,903","39,255,070",0,"2,712,903","4,030,950","4,591,322","4,391,757",0,"1,854,213","3,163,789","7,656,143","4,119,550",0
휴비츠,065510,2003-10-31,"76,166,691","56,814,106","82,868,906","102,825,651",0,"11,077,192","3,930,386","13,421,368","21,402,236",0,"6,909,967","-5,600,813","12,034,601","17,928,792",0
우리산업홀딩스,072470,2003-10-28,"2,582,444","2,680,992","3,272,007","4,405,753",0,"-213,763","265,529","631,881","1,784,244",0,"59,638","703,694","977,561","1,458,208",0
디지털대성,068930,2003-10-17,"89,600,446","100,643,066","176,345,994","188,128,734",0,"9,525,683","7,213,155","17,833,539","21,531,963",0,"11,134,433","6,828,308","14,087,390","15,390,350",0
코스온,069110,2003-10-14,"87,425,534","73,940,713","12,952,021","2,242,922",0,"1,486,703","-10,298,773","-12,027,930","-5,257,358",0,"-2,439,576","-34,533,410","-78,466,861","-73,357,155",0
이수페타시스,007660,2003-10-07,"318,847,404","335,067,412","363,498,873","497,212,502",0,"18,945,306","22,168,285","43,695,758","96,368,755",0,"-69,903,126","-3,667,798","2,941,379","85,549,247",0
강원랜드,035250,2003-09-04,"1,517,612,252","477,474,858","787,377,362","1,269,418,094",0,"502,725,264","-430,879,909","-52,800,541","217,938,432",0,"335,609,508","-278,763,195","-11,910,505","115,887,555",0
유아이디,069330,2003-08-18,"20,455,964","28,673,460","46,103,864","39,009,061",0,"-2,098,687","1,463,100","4,218,685","3,520,358",0,"-13,385,963","-7,272,827","4,663,224","3,734,493",0
티씨케이,064760,2003-08-18,"171,378,814","228,209,745","270,766,568","319,562,836",0,"59,171,215","80,266,434","103,400,362","127,026,641",0,"46,830,053","60,513,890","81,890,628","94,056,448",0
아모텍,052710,2003-08-01,"232,205,689","206,700,966","173,294,775","183,642,321",0,"6,091,205","-6,284,062","-19,780,534","1,130,108",0,"-926,694","-10,862,323","1,559,506","-705,722",0
YG PLUS,037270,2003-08-01,"62,860,099","70,470,966","120,431,126","139,976,733",0,"340,997","687,951","5,360,355","8,134,502",0,"-19,260,627","-2,836,557","9,862,638","9,154,774",0
농심홀딩스,072710,2003-07-30,"18,121,130","19,291,130","19,291,130","20,071,130",0,"13,756,873","14,408,603","13,171,382","15,677,273",0,"10,150,816","14,666,480","13,110,203","12,587,821",0
