(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
모델솔루션,417970,2022-10-07,"60,564,179","55,018,463","60,078,878","68,886,235",0,"9,332,657","6,870,288","8,526,295","9,824,031",0,"7,270,528","1,299,209","7,086,006","7,818,794",0
유안타제10호스팩,435380,2022-10-06,0,0,0,0,0,0,0,0,"-36,636",0,0,0,0,"25,388",0
KB스타리츠,432320,2022-10-06,0,0,0,0,0,0,0,0,"-35,543",0,0,0,0,"-35,475",0
SK증권제8호스팩,435870,2022-10-06,0,0,0,0,0,0,0,0,"-38,181",0,0,0,0,"41,375",0
선바이오,067370,2022-10-05,"5,771,750","5,458,529","9,964,994","7,420,394",0,"944,692","1,638,949","3,377,484","190,910",0,"740,960","1,201,785","284,737","869,326",0
더블유씨피,393890,2022-09-30,"34,807,835","111,875,227","185,498,674","257,451,425",0,"-5,055,078","9,760,562","40,855,746","59,114,860",0,"-6,513,745","-31,178,331","-9,963,987","55,633,097",0
한화플러스제3호스팩,430460,2022-09-29,0,0,0,0,0,0,0,0,"-20,282",0,0,0,0,"40,675",0
하나금융24호스팩,430230,2022-09-29,0,0,0,0,0,0,0,0,"-6,837",0,0,0,0,"73,798",0
알피바이오,314140,2022-09-29,"69,855,155","97,922,647","114,963,993","138,109,319",0,"2,770,495","4,157,063","5,879,847","9,646,810",0,"2,864,400","4,615,509","3,812,561","4,315,650",0
티엘엔지니어링,413300,2022-09-27,0,"10,565,331","8,805,945","10,633,590",0,0,"387,668","607,338","97,328",0,0,"428,858","517,197","-474,130",0
오픈엣지테크놀로지,394280,2022-09-26,0,"1,088,642","5,185,868","10,011,688",0,0,"-7,807,015","-10,335,235","-24,902,846",0,0,"-18,728,712","-13,746,427","-24,785,880",0
케이비제22호스팩,436530,2022-09-22,0,0,0,0,0,0,0,0,"-62,380",0,0,0,0,"5,381",0
하나금융23호스팩,427950,2022-09-15,0,0,0,0,0,0,0,0,"-34,549",0,0,0,0,"26,867",0
